Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH1 Source
1,1,1,20.00000E-006,-518.46400E-015,12.16500E-003,0.00000E+000
1,1,2,17.00000E-006,-403.89000E-015,192.54700E-003,0.00000E+000
1,1,3,20.00000E-006,-287.78500E-015,366.57700E-003,0.00000E+000
1,1,4,23.00000E-006,-184.33000E-015,548.22900E-003,0.00000E+000
1,1,5,20.00000E-006,-89.90500E-015,745.42500E-003,0.00000E+000
1,1,6,19.00000E-006,-14.27700E-015,919.49900E-003,0.00000E+000
1,1,7,20.00000E-006,55.82600E-015,1.09438E+000,0.00000E+000
1,1,8,19.00000E-006,125.43000E-015,1.29947E+000,0.00000E+000
1,1,9,19.00000E-006,184.65300E-015,1.47693E+000,0.00000E+000
1,1,10,19.00000E-006,243.38300E-015,1.65350E+000,0.00000E+000
1,1,11,22.00000E-006,301.14500E-015,1.85527E+000,0.00000E+000
1,1,12,17.00000E-006,345.52400E-015,2.03249E+000,0.00000E+000
1,1,13,20.00000E-006,379.42800E-015,2.20984E+000,0.00000E+000
1,1,14,23.00000E-006,425.65500E-015,2.40705E+000,0.00000E+000
1,1,15,14.00000E-006,459.25500E-015,2.58154E+000,0.00000E+000
1,1,16,22.00000E-006,491.44200E-015,2.75729E+000,0.00000E+000
1,1,17,22.00000E-006,522.98700E-015,2.95343E+000,0.00000E+000
1,1,18,19.00000E-006,548.34500E-015,3.12745E+000,0.00000E+000
1,1,19,18.00000E-006,565.84500E-015,3.30145E+000,0.00000E+000
1,1,20,21.00000E-006,583.09600E-015,3.49245E+000,0.00000E+000
1,1,21,19.00000E-006,600.83500E-015,3.66774E+000,0.00000E+000
1,1,22,15.00000E-006,609.07000E-015,3.84486E+000,0.00000E+000
1,1,23,26.00000E-006,626.69700E-015,4.03912E+000,0.00000E+000
1,1,24,14.00000E-006,637.21300E-015,4.21317E+000,0.00000E+000
1,1,25,25.00000E-006,645.30000E-015,4.38720E+000,0.00000E+000
1,1,26,23.00000E-006,650.54100E-015,4.59042E+000,0.00000E+000
1,1,27,19.00000E-006,664.14500E-015,4.76828E+000,0.00000E+000
1,1,28,22.00000E-006,659.77100E-015,4.94234E+000,0.00000E+000
1,1,29,20.00000E-006,673.01200E-015,5.14320E+000,0.00000E+000
1,1,30,17.00000E-006,674.98600E-015,5.31724E+000,0.00000E+000
1,1,31,23.00000E-006,675.87100E-015,5.49125E+000,0.00000E+000
1,1,32,10.00000E-006,685.33400E-015,5.69539E+000,0.00000E+000
1,1,33,26.00000E-006,690.36700E-015,5.87143E+000,0.00000E+000
1,1,34,13.00000E-006,695.90800E-015,6.04550E+000,0.00000E+000
1,1,35,9.00000E-006,701.04100E-015,6.24728E+000,0.00000E+000
1,1,36,20.00000E-006,702.96700E-015,6.42466E+000,0.00000E+000
1,1,37,8.00000E-006,706.54200E-015,6.59867E+000,0.00000E+000
1,1,38,26.00000E-006,717.00900E-015,6.80632E+000,0.00000E+000
1,1,39,9.00000E-006,723.78300E-015,6.98039E+000,0.00000E+000
1,1,40,21.00000E-006,727.04400E-015,7.15848E+000,0.00000E+000
1,1,41,27.00000E-006,733.45800E-015,7.35610E+000,0.00000E+000
1,1,42,27.00000E-006,738.51000E-015,7.53621E+000,0.00000E+000
1,1,43,14.00000E-006,740.40500E-015,7.71022E+000,0.00000E+000
1,1,44,14.00000E-006,744.18600E-015,7.91592E+000,0.00000E+000
1,1,45,28.00000E-006,742.77100E-015,8.08996E+000,0.00000E+000
1,1,46,31.00000E-006,747.12300E-015,8.27198E+000,0.00000E+000
1,1,47,16.00000E-006,762.37100E-015,8.46611E+000,0.00000E+000
1,1,48,8.00000E-006,769.72900E-015,8.64516E+000,0.00000E+000
1,1,49,29.00000E-006,774.49300E-015,8.81920E+000,0.00000E+000
1,1,50,8.00000E-006,774.11700E-015,9.01434E+000,0.00000E+000
1,1,51,21.00000E-006,781.40500E-015,9.19148E+000,0.00000E+000
1,1,52,14.00000E-006,798.89700E-015,9.36566E+000,0.00000E+000
1,1,53,7.00000E-006,809.60200E-015,9.56449E+000,0.00000E+000
1,1,54,32.00000E-006,813.25300E-015,9.73853E+000,0.00000E+000
1,1,55,6.00000E-006,818.22000E-015,9.91357E+000,0.00000E+000
1,1,56,29.00000E-006,815.95300E-015,10.11824E+000,0.00000E+000
1,1,57,7.00000E-006,821.07500E-015,10.29373E+000,0.00000E+000
1,1,58,35.00000E-006,826.67800E-015,10.47038E+000,0.00000E+000
1,1,59,21.00000E-006,830.55300E-015,10.67433E+000,0.00000E+000
1,1,60,22.00000E-006,833.50800E-015,10.85028E+000,0.00000E+000
1,1,61,18.00000E-006,833.00500E-015,11.02469E+000,0.00000E+000
1,1,62,4.00000E-006,841.89300E-015,11.22799E+000,0.00000E+000
1,1,63,35.00000E-006,842.62700E-015,11.40435E+000,0.00000E+000
1,1,64,13.00000E-006,843.86400E-015,11.58150E+000,0.00000E+000
1,1,65,9.00000E-006,853.69800E-015,11.78084E+000,0.00000E+000
1,1,66,33.00000E-006,858.31300E-015,11.95491E+000,0.00000E+000
