#Origin at x0 = 5, y0 = 170
x-pos,y-pos,time
0.0,0.0,1657946689.7586982
0.0,0.0,1657946694.7659118
0.0,5.0,1657946698.1994233
0.0,5.0,1657946703.2001276
0.0,10.0,1657946706.6300783
0.0,10.0,1657946711.630728
0.0,15.0,1657946715.0626986
0.0,15.0,1657946720.062707
0.0,20.0,1657946723.4928691
0.0,20.0,1657946728.4997127
0.0,25.0,1657946731.9336538
0.0,25.0,1657946736.9363682
0.0,30.0,1657946740.3709404
0.0,30.0,1657946745.3745668
5.0,30.0,1657946747.2114806
5.0,30.0,1657946752.2132363
5.0,25.0,1657946755.6474893
5.0,25.0,1657946760.6476133
5.0,20.0,1657946764.0835788
5.0,20.0,1657946769.0906289
5.0,15.0,1657946772.5275776
5.0,15.0,1657946777.5288935
5.0,10.0,1657946780.9565322
5.0,10.0,1657946785.957452
5.0,5.0,1657946789.3950286
5.0,5.0,1657946794.4000628
5.0,0.0,1657946797.8296764
5.0,0.0,1657946802.8389041
10.0,0.0,1657946804.6694784
10.0,0.0,1657946809.6758938
10.0,5.0,1657946813.115333
10.0,5.0,1657946818.1195097
10.0,10.0,1657946821.550267
10.0,10.0,1657946826.5588973
10.0,15.0,1657946829.994566
10.0,15.0,1657946834.9988627
10.0,20.0,1657946838.4336886
10.0,20.0,1657946843.4388585
10.0,25.0,1657946846.8731177
10.0,25.0,1657946851.8881054
10.0,30.0,1657946855.316446
10.0,30.0,1657946860.321849
15.0,30.0,1657946862.1506088
15.0,30.0,1657946867.154304
15.0,25.0,1657946870.5944362
15.0,25.0,1657946875.6024246
15.0,20.0,1657946879.03493
15.0,20.0,1657946884.0403004
15.0,15.0,1657946887.4690607
15.0,15.0,1657946892.475726
15.0,10.0,1657946895.915722
15.0,10.0,1657946900.9224582
15.0,5.0,1657946904.358735
15.0,5.0,1657946909.3636818
15.0,0.0,1657946912.8035169
15.0,0.0,1657946917.8052247
20.0,0.0,1657946919.643691
20.0,0.0,1657946924.647925
20.0,5.0,1657946928.0795026
20.0,5.0,1657946933.0849884
20.0,10.0,1657946936.5175655
20.0,10.0,1657946941.524504
20.0,15.0,1657946944.9618812
20.0,15.0,1657946949.9629319
20.0,20.0,1657946953.3974664
20.0,20.0,1657946958.4033499
20.0,25.0,1657946961.841532
20.0,25.0,1657946966.847239
20.0,30.0,1657946970.2796624
20.0,30.0,1657946975.28179
25.0,30.0,1657946977.1154397
25.0,30.0,1657946982.1208527
25.0,25.0,1657946985.5523353
25.0,25.0,1657946990.5571141
25.0,20.0,1657946993.9948845
25.0,20.0,1657946998.999703
25.0,15.0,1657947002.4323657
25.0,15.0,1657947007.4350326
25.0,10.0,1657947010.8744948
25.0,10.0,1657947015.8825421
25.0,5.0,1657947019.313463
25.0,5.0,1657947024.3168511
25.0,0.0,1657947027.7514272
25.0,0.0,1657947032.7540622
30.0,0.0,1657947034.5840645
30.0,0.0,1657947039.5935602
30.0,5.0,1657947043.0250506
30.0,5.0,1657947048.0277271
30.0,10.0,1657947051.4666095
30.0,10.0,1657947056.47157
30.0,15.0,1657947059.9060938
30.0,15.0,1657947064.9062433
30.0,20.0,1657947068.3427272
30.0,20.0,1657947073.3521292
30.0,25.0,1657947076.7800677
30.0,25.0,1657947081.795743
30.0,30.0,1657947085.2344525
