#Origin at x0 = 5, y0 = 170, linear step = 1, time step dt = 5
x-pos,y-pos,time
0.0,0.0,1657950824.1825373
0.0,0.0,1657950829.1882167
0.0,1.0,1657950830.0587578
0.0,1.0,1657950835.0648563
0.0,2.0,1657950835.9417746
0.0,2.0,1657950840.9438877
0.0,3.0,1657950841.8234432
0.0,3.0,1657950846.8258739
0.0,4.0,1657950847.6974733
0.0,4.0,1657950852.7065313
0.0,5.0,1657950853.5805469
0.0,5.0,1657950858.5851083
0.0,6.0,1657950859.457578
0.0,6.0,1657950864.4578996
0.0,7.0,1657950865.329583
0.0,7.0,1657950870.329612
0.0,8.0,1657950871.2024653
0.0,8.0,1657950876.2170086
0.0,9.0,1657950877.0930204
0.0,9.0,1657950882.0967727
0.0,10.0,1657950882.9724147
0.0,10.0,1657950887.9831626
0.0,11.0,1657950888.856159
0.0,11.0,1657950893.8632424
0.0,12.0,1657950894.7373335
0.0,12.0,1657950899.7389915
0.0,13.0,1657950900.6131485
0.0,13.0,1657950905.6152627
0.0,14.0,1657950906.4883828
0.0,14.0,1657950911.491703
0.0,15.0,1657950912.3662007
0.0,15.0,1657950917.370036
0.0,16.0,1657950918.2430644
0.0,16.0,1657950923.2452013
0.0,17.0,1657950924.1269672
0.0,17.0,1657950929.1351798
0.0,18.0,1657950930.010522
0.0,18.0,1657950935.0119085
0.0,19.0,1657950935.8942049
0.0,19.0,1657950940.8961742
0.0,20.0,1657950941.7700222
0.0,20.0,1657950946.7751021
0.0,21.0,1657950947.6479044
0.0,21.0,1657950952.655128
0.0,22.0,1657950953.532965
0.0,22.0,1657950958.5403733
0.0,23.0,1657950959.4196818
0.0,23.0,1657950964.422709
0.0,24.0,1657950965.2962103
0.0,24.0,1657950970.298681
0.0,25.0,1657950971.167718
0.0,25.0,1657950976.174191
0.0,26.0,1657950977.0484078
0.0,26.0,1657950982.050449
0.0,27.0,1657950982.9196043
0.0,27.0,1657950987.9273908
0.0,28.0,1657950988.804932
0.0,28.0,1657950993.8073413
0.0,29.0,1657950994.683795
0.0,29.0,1657950999.6981025
0.0,30.0,1657951000.5723264
0.0,30.0,1657951005.5725374
1.0,30.0,1657951006.1301377
1.0,30.0,1657951011.1355906
1.0,29.0,1657951012.0085227
1.0,29.0,1657951017.0232818
1.0,28.0,1657951017.8987386
1.0,28.0,1657951022.9053683
1.0,27.0,1657951023.782749
1.0,27.0,1657951028.7917216
1.0,26.0,1657951029.6635294
1.0,26.0,1657951034.6660068
1.0,25.0,1657951035.539369
1.0,25.0,1657951040.5407803
1.0,24.0,1657951041.414411
