#Origin at x0 = 10, y0 = 175, linear step = 1, time step dt = 5, start time t = 1658176417.202768
x-pos,y-pos,time
0.0,0.0,1658176585.742168
0.0,0.0,1658176585.7501655
0.0,0.0,1658176590.7533376
0.0,1.0,1658176591.629885
0.0,1.0,1658176596.6342778
0.0,2.0,1658176597.5105548
0.0,2.0,1658176602.5139115
0.0,3.0,1658176603.3892064
0.0,3.0,1658176608.401464
0.0,4.0,1658176609.2792249
0.0,4.0,1658176614.2805521
0.0,5.0,1658176615.1539369
0.0,5.0,1658176620.156545
0.0,6.0,1658176621.0297256
0.0,6.0,1658176626.035722
0.0,7.0,1658176626.9087245
0.0,7.0,1658176631.9106765
0.0,8.0,1658176632.7933655
0.0,8.0,1658176637.7943847
0.0,9.0,1658176638.6702704
0.0,9.0,1658176643.6774957
0.0,10.0,1658176644.547459
0.0,10.0,1658176649.55114
0.0,11.0,1658176650.4245017
0.0,11.0,1658176655.4285982
0.0,12.0,1658176656.2994785
0.0,12.0,1658176661.301013
0.0,13.0,1658176662.1748326
0.0,13.0,1658176667.1763031
0.0,14.0,1658176668.0505357
0.0,14.0,1658176673.0568805
0.0,15.0,1658176673.9303975
0.0,15.0,1658176678.9337578
0.0,16.0,1658176679.8061368
0.0,16.0,1658176684.8107262
0.0,17.0,1658176685.687133
0.0,17.0,1658176690.691351
0.0,18.0,1658176691.5694578
0.0,18.0,1658176696.5710986
0.0,19.0,1658176697.446053
0.0,19.0,1658176702.4579198
0.0,20.0,1658176703.3313925
0.0,20.0,1658176708.3342605
1.0,20.0,1658176708.8927307
1.0,20.0,1658176713.8991592
1.0,19.0,1658176714.773535
1.0,19.0,1658176719.7787418
1.0,18.0,1658176720.65291
1.0,18.0,1658176725.662742
1.0,17.0,1658176726.5384696
1.0,17.0,1658176731.5395353
1.0,16.0,1658176732.4123776
1.0,16.0,1658176737.4133067
1.0,15.0,1658176738.2890198
1.0,15.0,1658176743.2920897
1.0,14.0,1658176744.1656442
1.0,14.0,1658176749.1705477
1.0,13.0,1658176750.04443
1.0,13.0,1658176755.0462408
1.0,12.0,1658176755.929366
1.0,12.0,1658176760.9297307
1.0,11.0,1658176761.8079758
1.0,11.0,1658176766.8171694
1.0,10.0,1658176767.6928325
1.0,10.0,1658176772.696303
1.0,9.0,1658176773.5728683
1.0,9.0,1658176778.585279
1.0,8.0,1658176779.4610498
1.0,8.0,1658176784.4643905
1.0,7.0,1658176785.3455806
1.0,7.0,1658176790.356648
1.0,6.0,1658176791.229168
1.0,6.0,1658176796.2399268
1.0,5.0,1658176797.1161141
1.0,5.0,1658176802.128033
1.0,4.0,1658176803.0038457
1.0,4.0,1658176808.0041797
1.0,3.0,1658176808.8747876
1.0,3.0,1658176813.8814263
1.0,2.0,1658176814.7573142
1.0,2.0,1658176819.7590115
1.0,1.0,1658176820.6411285
1.0,1.0,1658176825.647689
1.0,0.0,1658176826.5203013
1.0,0.0,1658176831.527563
2.0,0.0,1658176832.0878708
2.0,0.0,1658176837.0930133
2.0,1.0,1658176837.9662948
2.0,1.0,1658176842.9696374
2.0,2.0,1658176843.8495014
2.0,2.0,1658176848.8495085
2.0,3.0,1658176849.7234657
2.0,3.0,1658176854.73426
2.0,4.0,1658176855.6134446
2.0,4.0,1658176860.6203525
2.0,5.0,1658176861.4970763
2.0,5.0,1658176866.5110908
2.0,6.0,1658176867.388664
2.0,6.0,1658176872.3906996
2.0,7.0,1658176873.260402
2.0,7.0,1658176878.2738676
2.0,8.0,1658176879.1532204
2.0,8.0,1658176884.1568484
2.0,9.0,1658176885.0309992
2.0,9.0,1658176890.0431185
2.0,10.0,1658176890.9179313
2.0,10.0,1658176895.9199767
2.0,11.0,1658176896.8009887
2.0,11.0,1658176901.815361
2.0,12.0,1658176902.6817963
2.0,12.0,1658176907.695218
2.0,13.0,1658176908.571559
2.0,13.0,1658176913.5735822
2.0,14.0,1658176914.4465015
2.0,14.0,1658176919.4496725
2.0,15.0,1658176920.3249798
2.0,15.0,1658176925.3295429
2.0,16.0,1658176926.2037542
2.0,16.0,1658176931.20453
2.0,17.0,1658176932.0752795
2.0,17.0,1658176937.0836616
2.0,18.0,1658176937.954592
2.0,18.0,1658176942.9550478
2.0,19.0,1658176943.8317573
2.0,19.0,1658176948.833057
2.0,20.0,1658176949.7128747
2.0,20.0,1658176954.7160277
3.0,20.0,1658176955.2658863
3.0,20.0,1658176960.27355
3.0,19.0,1658176961.1477213
3.0,19.0,1658176966.1519127
3.0,18.0,1658176967.0256314
3.0,18.0,1658176972.0320077
3.0,17.0,1658176972.9068189
3.0,17.0,1658176977.9083016
3.0,16.0,1658176978.7847254
3.0,16.0,1658176983.7895334
3.0,15.0,1658176984.6630964
3.0,15.0,1658176989.6656759
3.0,14.0,1658176990.5408602
3.0,14.0,1658176995.545653
3.0,13.0,1658176996.4234653
3.0,13.0,1658177001.4329534
3.0,12.0,1658177002.3131182
3.0,12.0,1658177007.3196304
3.0,11.0,1658177008.1938963
3.0,11.0,1658177013.1950085
3.0,10.0,1658177014.0663612
3.0,10.0,1658177019.0750453
3.0,9.0,1658177019.9521587
3.0,9.0,1658177024.9579036
3.0,8.0,1658177025.8393207
3.0,8.0,1658177030.850538
3.0,7.0,1658177031.7220526
3.0,7.0,1658177036.7325509
3.0,6.0,1658177037.6038668
3.0,6.0,1658177042.6059105
3.0,5.0,1658177043.478462
3.0,5.0,1658177048.4907436
3.0,4.0,1658177049.367866
3.0,4.0,1658177054.3804982
3.0,3.0,1658177055.2505028
3.0,3.0,1658177060.2630568
3.0,2.0,1658177061.1420407
3.0,2.0,1658177066.1451778
3.0,1.0,1658177067.0231616
3.0,1.0,1658177072.0289345
3.0,0.0,1658177072.9039733
3.0,0.0,1658177077.909631
4.0,0.0,1658177078.4596012
4.0,0.0,1658177083.4668388
4.0,1.0,1658177084.344466
4.0,1.0,1658177089.3469555
4.0,2.0,1658177090.2205343
4.0,2.0,1658177095.2278943
4.0,3.0,1658177096.1025672
4.0,3.0,1658177101.1041563
4.0,4.0,1658177101.9801552
4.0,4.0,1658177106.9843216
4.0,5.0,1658177107.8597105
4.0,5.0,1658177112.863016
4.0,6.0,1658177113.7435038
4.0,6.0,1658177118.7540789
4.0,7.0,1658177119.630396
4.0,7.0,1658177124.6312368
4.0,8.0,1658177125.5063484
4.0,8.0,1658177130.5146956
4.0,9.0,1658177131.3929915
4.0,9.0,1658177136.393077
4.0,10.0,1658177137.2690268
4.0,10.0,1658177142.274165
4.0,11.0,1658177143.1459725
4.0,11.0,1658177148.151886
4.0,12.0,1658177149.0253487
4.0,12.0,1658177154.027854
4.0,13.0,1658177154.9038749
4.0,13.0,1658177159.9045966
4.0,14.0,1658177160.7815487
4.0,14.0,1658177165.7868032
4.0,15.0,1658177166.6582062
4.0,15.0,1658177171.664545
4.0,16.0,1658177172.5444908
4.0,16.0,1658177177.5447536
4.0,17.0,1658177178.4185402
4.0,17.0,1658177183.4227762
4.0,18.0,1658177184.2999873
4.0,18.0,1658177189.3003259
4.0,19.0,1658177190.1737914
4.0,19.0,1658177195.1742344
4.0,20.0,1658177196.0566916
4.0,20.0,1658177201.0624456
