Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1658993063.4832845, 55.0, 55.0, 1.0, 16000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),TsCH_1 (s),TsCH_2 (s),TsCH_3 (s),TsCH_4 (s),TsCH_5 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s)
55.0,54.7416,0.00630,5.54034e+01,5.61870e+01,5.60627e+01,5.60643e+01,5.66090e+01,5.65643e+01,5.65619e+01,5.65922e+01,5.66151e+01,5.65836e+01,5.65968e+01,2.23093e-05,9.24491e-06,1.13179e-05,1.12920e-05,2.21094e-06,2.95595e-06,2.99536e-06,2.49136e-06,2.10933e-06,2.63425e-06,2.41375e-06,1658993072.0133471,1658993072.4752922,1658993072.9373922,1658993073.4027393,1658993073.8650944,1658993074.3276253,1658993074.7907207,1658993075.2534032,1658993075.71611,1658993076.1811473,1658993076.6460798
55.0,54.7427,0.00630,5.54043e+01,5.61882e+01,5.60663e+01,5.60673e+01,5.66139e+01,5.65705e+01,5.65698e+01,5.65967e+01,5.66204e+01,5.65880e+01,5.66004e+01,2.23116e-05,9.24343e-06,1.12766e-05,1.12592e-05,2.14664e-06,2.87060e-06,2.88289e-06,2.43467e-06,2.03902e-06,2.57907e-06,2.37224e-06,1658993078.6807542,1658993079.143357,1658993079.6103153,1658993080.0737474,1658993080.5370305,1658993080.9995897,1658993081.4622219,1658993081.925156,1658993082.3919907,1658993082.8546457,1658993083.3170817
55.0,54.6885,0.00630,5.53500e+01,5.61340e+01,5.60116e+01,5.60136e+01,5.65585e+01,5.65156e+01,5.65098e+01,5.65426e+01,5.65668e+01,5.65340e+01,5.65459e+01,2.23138e-05,9.24384e-06,1.12841e-05,1.12509e-05,2.16689e-06,2.88298e-06,2.97857e-06,2.43308e-06,2.02896e-06,2.57560e-06,2.37785e-06,1658993085.346559,1658993085.809227,1658993086.2717433,1658993086.7347417,1658993087.1976013,1658993087.6601205,1658993088.1226554,1658993088.5850534,1658993089.0477087,1658993089.5103734,1658993089.9736028
55.0,54.7433,0.00630,5.54049e+01,5.61891e+01,5.60669e+01,5.60689e+01,5.66136e+01,5.65701e+01,5.65712e+01,5.65973e+01,5.66210e+01,5.65891e+01,5.66013e+01,2.23119e-05,9.23845e-06,1.12756e-05,1.12434e-05,2.16270e-06,2.88765e-06,2.86829e-06,2.43437e-06,2.03893e-06,2.57131e-06,2.36648e-06,1658993092.0010557,1658993092.4636078,1658993092.9261518,1658993093.389059,1658993093.8515494,1658993094.3145018,1658993094.777868,1658993095.2455573,1658993095.708835,1658993096.1716032,1658993096.6340783
55.0,54.7439,0.00630,5.54055e+01,5.61896e+01,5.60672e+01,5.60683e+01,5.66140e+01,5.65712e+01,5.65651e+01,5.65979e+01,5.66224e+01,5.65902e+01,5.66012e+01,2.23123e-05,9.24145e-06,1.12814e-05,1.12622e-05,2.16624e-06,2.87881e-06,2.98012e-06,2.43445e-06,2.02591e-06,2.56259e-06,2.37824e-06,1658993098.657676,1658993099.1252818,1658993099.589692,1658993100.0521128,1658993100.5144942,1658993100.9778547,1658993101.4407222,1658993101.9046338,1658993102.3695486,1658993102.8346856,1658993103.2975798
55.0,54.7438,0.00630,5.54053e+01,5.61896e+01,5.60670e+01,5.60683e+01,5.66145e+01,5.65718e+01,5.65642e+01,5.65975e+01,5.66220e+01,5.65899e+01,5.66054e+01,2.23147e-05,9.23881e-06,1.12829e-05,1.12612e-05,2.15634e-06,2.86814e-06,2.99473e-06,2.43871e-06,2.03018e-06,2.56617e-06,2.30712e-06,1658993105.2902005,1658993105.751739,1658993106.2142982,1658993106.677078,1658993107.1402557,1658993107.6028109,1658993108.064981,1658993108.5276256,1658993108.9906926,1658993109.453272,1658993109.9159305
55.0,54.7439,0.00630,5.54055e+01,5.61895e+01,5.60676e+01,5.60686e+01,5.66148e+01,5.65713e+01,5.65726e+01,5.65979e+01,5.66226e+01,5.65898e+01,5.66158e+01,2.23117e-05,9.24152e-06,1.12753e-05,1.12575e-05,2.15206e-06,2.87808e-06,2.85544e-06,2.43340e-06,2.02171e-06,2.56870e-06,2.13631e-06,1658993111.9456177,1658993112.4088674,1658993112.872622,1658993113.3351085,1658993113.7972257,1658993114.261612,1658993114.724634,1658993115.1872435,1658993115.6500492,1658993116.1159894,1658993116.5784628
55.0,54.7444,0.00630,5.54059e+01,5.61900e+01,5.60676e+01,5.60695e+01,5.66147e+01,5.65713e+01,5.65720e+01,5.65983e+01,5.66229e+01,5.65899e+01,5.66168e+01,2.23136e-05,9.24299e-06,1.12821e-05,1.12514e-05,2.16156e-06,2.88614e-06,2.87404e-06,2.43575e-06,2.02593e-06,2.57513e-06,2.12727e-06,1658993118.6082723,1658993119.0728955,1658993119.5354514,1658993119.9980536,1658993120.461074,1658993120.923757,1658993121.386118,1658993121.849356,1658993122.3119166,1658993122.7746687,1658993123.2371876
55.0,54.7444,0.00630,5.54060e+01,5.61899e+01,5.60681e+01,5.60695e+01,5.66147e+01,5.65726e+01,5.65667e+01,5.65981e+01,5.66226e+01,5.65905e+01,5.66160e+01,2.23121e-05,9.24372e-06,1.12741e-05,1.12509e-05,2.16175e-06,2.86398e-06,2.96281e-06,2.43914e-06,2.03043e-06,2.56621e-06,2.14034e-06,1658993125.2687986,1658993125.7313337,1658993126.1933641,1658993126.6559749,1658993127.1184955,1658993127.5809963,1658993128.0437076,1658993128.5064726,1658993128.969818,1658993129.4331803,1658993129.8958602
55.0,54.745,0.00630,5.54067e+01,5.61908e+01,5.60683e+01,5.60690e+01,5.66151e+01,5.65782e+01,5.65698e+01,5.65985e+01,5.66228e+01,5.65907e+01,5.66165e+01,2.23111e-05,9.23924e-06,1.12817e-05,1.12698e-05,2.16585e-06,2.78133e-06,2.92125e-06,2.44304e-06,2.03659e-06,2.57252e-06,2.14246e-06,1658993131.923527,1658993132.3866417,1658993132.849181,1658993133.3117082,1658993133.776958,1658993134.2394416,1658993134.7020936,1658993135.1665533,1658993135.6289594,1658993136.092977,1658993136.5555267
