Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659510796.9714036, 51.0, 51.0, 0.1, 800000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
51.0,50.7256,0.00320,5.12666e+01,5.13072e+01,5.27244e+01,5.27242e+01,5.27243e+01,5.27249e+01,5.27247e+01,5.27236e+01,5.27251e+01,5.27250e+01,5.27250e+01,5.27247e+01,2.43230e-05,2.36456e-05,2.03152e-08,2.37127e-08,2.09808e-08,1.12653e-08,1.44144e-08,3.28322e-08,7.88768e-09,1.03414e-08,1.03017e-08,1.43548e-08,1659510805.5080838,1659510805.970521,1659510806.4418705,1659510806.9040735,1659510807.3684068,1659510807.8308039,1659510808.2933264,1659510808.7560248,1659510809.218535,1659510809.68131,1659510810.1441813,1659510810.6067703
51.0,50.7269,0.00320,5.12680e+01,5.13086e+01,5.27258e+01,5.27258e+01,5.27260e+01,5.27262e+01,5.27262e+01,5.27251e+01,5.27262e+01,5.27265e+01,5.27262e+01,5.27261e+01,2.43209e-05,2.36435e-05,1.77324e-08,1.76628e-08,1.56959e-08,1.14143e-08,1.14739e-08,3.03487e-08,1.12553e-08,7.32144e-09,1.12553e-08,1.35501e-08,1659510812.6337574,1659510813.0960567,1659510813.5585191,1659510814.021248,1659510814.4842262,1659510814.948413,1659510815.4107525,1659510815.873136,1659510816.3357632,1659510816.7981446,1659510817.2602167,1659510817.7227254
51.0,50.7277,0.00320,5.12690e+01,5.13096e+01,5.27270e+01,5.27268e+01,5.27269e+01,5.27271e+01,5.27269e+01,5.27259e+01,5.27271e+01,5.27272e+01,5.27272e+01,5.27268e+01,2.43175e-05,2.36417e-05,1.20997e-08,1.51197e-08,1.28746e-08,9.59635e-09,1.36197e-08,2.97626e-08,9.53674e-09,7.67907e-09,8.41419e-09,1.53879e-08,1659510819.7600784,1659510820.2254343,1659510820.6884387,1659510821.1509814,1659510821.6135314,1659510822.0766656,1659510822.5398293,1659510823.00225,1659510823.464255,1659510823.9267678,1659510824.3892596,1659510824.852014
51.0,50.7274,0.00320,5.12685e+01,5.13092e+01,5.27265e+01,5.27266e+01,5.27266e+01,5.27269e+01,5.27269e+01,5.27256e+01,5.27268e+01,5.27269e+01,5.27268e+01,5.27266e+01,2.43203e-05,2.36425e-05,1.56164e-08,1.31130e-08,1.38382e-08,8.93076e-09,8.21551e-09,3.00407e-08,1.02619e-08,7.75854e-09,1.04109e-08,1.34011e-08,1659510826.8844364,1659510827.349162,1659510827.8122694,1659510828.2748168,1659510828.7373803,1659510829.20073,1659510829.6635644,1659510830.1260448,1659510830.5882292,1659510831.052476,1659510831.5148377,1659510831.977215
51.0,50.7283,0.00320,5.12696e+01,5.13102e+01,5.27272e+01,5.27276e+01,5.27276e+01,5.27278e+01,5.27275e+01,5.27265e+01,5.27278e+01,5.27280e+01,5.27278e+01,5.27276e+01,2.43183e-05,2.36402e-05,1.86960e-08,1.08381e-08,1.13050e-08,9.00030e-09,1.38879e-08,2.92162e-08,7.82808e-09,4.20213e-09,8.35458e-09,1.16130e-08,1659510834.0085838,1659510834.4730675,1659510834.9361672,1659510835.3987503,1659510835.8611634,1659510836.3269005,1659510836.7894545,1659510837.252436,1659510837.7149312,1659510838.1784348,1659510838.6403375,1659510839.102785
51.0,50.7284,0.00320,5.12697e+01,5.13105e+01,5.27276e+01,5.27277e+01,5.27277e+01,5.27279e+01,5.27277e+01,5.27267e+01,5.27278e+01,5.27279e+01,5.27280e+01,5.27277e+01,2.43185e-05,2.36372e-05,1.26958e-08,1.12255e-08,1.24176e-08,8.87116e-09,1.20600e-08,2.86798e-08,9.40760e-09,9.03010e-09,6.84460e-09,1.11361e-08,1659510841.117305,1659510841.5800292,1659510842.0443506,1659510842.5068076,1659510842.9692721,1659510843.431867,1659510843.8954403,1659510844.3594244,1659510844.820674,1659510845.2838016,1659510845.746525,1659510846.208374
51.0,50.7284,0.00320,5.12698e+01,5.13108e+01,5.27276e+01,5.27277e+01,5.27279e+01,5.27279e+01,5.27277e+01,5.27267e+01,5.27279e+01,5.27280e+01,5.27278e+01,5.27276e+01,2.43155e-05,2.36328e-05,1.27157e-08,1.15534e-08,8.73208e-09,9.03010e-09,1.14242e-08,2.90672e-08,7.71880e-09,7.50025e-09,9.65595e-09,1.29938e-08,1659510848.2347481,1659510848.6973512,1659510849.1680174,1659510849.6304667,1659510850.0928643,1659510850.5560255,1659510851.0230892,1659510851.4856226,1659510851.9481332,1659510852.4105318,1659510852.8732526,1659510853.336185
51.0,50.7284,0.00320,5.12698e+01,5.13106e+01,5.27277e+01,5.27277e+01,5.27279e+01,5.27278e+01,5.27277e+01,5.27269e+01,5.27278e+01,5.27279e+01,5.27279e+01,5.27277e+01,2.43159e-05,2.36355e-05,1.17222e-08,1.15236e-08,8.79169e-09,1.07487e-08,1.12553e-08,2.57591e-08,9.16918e-09,7.93735e-09,8.78175e-09,1.12851e-08,1659510855.358676,1659510855.8211253,1659510856.284024,1659510856.7469468,1659510857.2091963,1659510857.6720269,1659510858.134415,1659510858.5972562,1659510859.0600002,1659510859.5268488,1659510859.9880753,1659510860.450578
51.0,50.7285,0.00320,5.12700e+01,5.13108e+01,5.27278e+01,5.27280e+01,5.27280e+01,5.27280e+01,5.27278e+01,5.27268e+01,5.27280e+01,5.27281e+01,5.27279e+01,5.27277e+01,2.43151e-05,2.36342e-05,1.14342e-08,9.14931e-09,9.09964e-09,8.53340e-09,1.12653e-08,2.77360e-08,7.94729e-09,6.34789e-09,9.43740e-09,1.34905e-08,1659510862.4711955,1659510862.9336696,1659510863.3960125,1659510863.8584821,1659510864.3217533,1659510864.7841382,1659510865.2467904,1659510865.7100801,1659510866.1723073,1659510866.634883,1659510867.0974958,1659510867.56451
51.0,50.731,0.00320,5.12724e+01,5.13133e+01,5.27303e+01,5.27305e+01,5.27304e+01,5.27306e+01,5.27304e+01,5.27292e+01,5.27305e+01,5.27307e+01,5.27305e+01,5.27304e+01,2.43153e-05,2.36337e-05,1.21991e-08,8.17577e-09,9.42747e-09,7.29163e-09,1.05898e-08,2.96136e-08,8.34465e-09,5.63264e-09,9.08971e-09,1.07388e-08,1659510869.6150727,1659510870.0776594,1659510870.5400333,1659510871.0047746,1659510871.4678648,1659510871.931447,1659510872.3938665,1659510872.856313,1659510873.3188102,1659510873.7837694,1659510874.2462494,1659510874.7081106
