#Scanning from (x0, y0) = (18.8 mm, 175 mm), to (x1, y1) = (18.8 mm, 195 mm), linear step (ds) = 0.1 mm, time step (dt) = 15 s, start time (t0) = 1659547821.5019672 s
x-pos,y-pos,time
18.8,175.0,1659547864.0228534
18.8,175.0,1659547879.024985
18.8,175.1,1659547880.2627516
18.8,175.1,1659547895.2766008
18.8,175.2,1659547896.5114973
18.8,175.2,1659547911.5172908
18.8,175.3,1659547912.7603621
18.8,175.3,1659547927.7690322
18.8,175.4,1659547929.0073297
18.8,175.4,1659547944.016265
18.8,175.5,1659547945.2612
18.8,175.5,1659547960.2675276
18.8,175.6,1659547961.5114083
18.8,175.6,1659547976.5191035
18.8,175.7,1659547977.7589302
18.8,175.7,1659547992.7595804
18.8,175.8,1659547994.0047243
18.8,175.8,1659548009.0061262
18.8,175.9,1659548010.2534049
18.8,175.9,1659548025.2610402
18.8,176.0,1659548026.500761
18.8,176.0,1659548041.5059786
18.8,176.1,1659548042.7431417
18.8,176.1,1659548057.747118
18.8,176.2,1659548058.987019
18.8,176.2,1659548073.993551
18.8,176.3,1659548075.244314
18.8,176.3,1659548090.2444158
18.8,176.4,1659548091.4938855
18.8,176.4,1659548106.4984794
18.8,176.5,1659548107.7405455
18.8,176.5,1659548122.7463565
18.8,176.6,1659548123.9863381
18.8,176.6,1659548138.988635
18.8,176.7,1659548140.2281017
18.8,176.7,1659548155.2291737
18.8,176.8,1659548156.4711103
18.8,176.8,1659548171.4754884
18.8,176.9,1659548172.7178328
18.8,176.9,1659548187.7247322
18.8,177.0,1659548188.9592412
18.8,177.0,1659548203.9681256
18.8,177.1,1659548205.2140741
18.8,177.1,1659548220.2155552
18.8,177.2,1659548221.4594896
18.8,177.2,1659548236.4672558
18.8,177.3,1659548237.7139747
18.8,177.3,1659548252.7200582
18.8,177.4,1659548253.9685335
18.8,177.4,1659548268.9703588
18.8,177.5,1659548270.2132204
18.8,177.5,1659548285.218611
18.8,177.6,1659548286.4727943
18.8,177.6,1659548301.4729521
18.8,177.7,1659548302.7128575
18.8,177.7,1659548317.7198813
18.8,177.8,1659548318.9554582
18.8,177.8,1659548333.9599893
18.8,177.9,1659548335.2060664
18.8,177.9,1659548350.210392
18.8,178.0,1659548351.4481533
18.8,178.0,1659548366.4518616
18.8,178.1,1659548367.6889908
18.8,178.1,1659548382.704407
18.8,178.2,1659548383.94721
18.8,178.2,1659548398.9530413
18.8,178.3,1659548400.1925113
18.8,178.3,1659548415.1990044
18.8,178.4,1659548416.4354162
18.8,178.4,1659548431.4392216
18.8,178.5,1659548432.681889
18.8,178.5,1659548447.6943862
18.8,178.6,1659548448.9270701
18.8,178.6,1659548463.9293752
18.8,178.7,1659548465.178945
