#Scanning from (x0, y0) = (5 mm, 184.8 mm), to (x1, y1) = (30 mm, 184.8 mm), linear step (ds) = 0.1 mm, time step (dt) = 15 s, start time (t0) = 1659554463.4382472 s
x-pos,y-pos,time
6.0,184.8,1659554637.1636455
6.0,184.8,1659554652.1776044
6.1,184.8,1659554653.3395255
6.1,184.8,1659554668.3440843
6.2,184.8,1659554669.520456
6.2,184.8,1659554684.526853
6.3,184.8,1659554685.6926467
6.3,184.8,1659554700.7056088
6.4,184.8,1659554701.8735852
6.4,184.8,1659554716.8764582
6.5,184.8,1659554718.0423915
6.5,184.8,1659554733.0473933
6.6,184.8,1659554734.2177486
6.6,184.8,1659554749.2254934
6.7,184.8,1659554751.1572938
6.7,184.8,1659554766.1679964
6.8,184.8,1659554767.3378334
6.8,184.8,1659554782.3439703
6.9,184.8,1659554783.5144687
6.9,184.8,1659554798.5216932
7.0,184.8,1659554799.689235
7.0,184.8,1659554814.6900854
7.1,184.8,1659554815.8576324
7.1,184.8,1659554830.8652437
7.2,184.8,1659554832.0344648
7.2,184.8,1659554847.0346382
7.3,184.8,1659554848.2022605
7.3,184.8,1659554863.2033017
7.4,184.8,1659554864.3691328
7.4,184.8,1659554879.3704896
7.5,184.8,1659554880.536729
7.5,184.8,1659554895.5410018
7.6,184.8,1659554896.7046452
7.6,184.8,1659554911.7048376
7.7,184.8,1659554912.8675437
7.7,184.8,1659554927.8748312
7.8,184.8,1659554929.0424216
7.8,184.8,1659554944.0510457
7.9,184.8,1659554945.2273912
7.9,184.8,1659554960.2321427
8.0,184.8,1659554961.4062626
8.0,184.8,1659554976.413961
8.1,184.8,1659554977.5890286
8.1,184.8,1659554992.5921793
8.2,184.8,1659554993.7668805
8.2,184.8,1659555008.768179
8.3,184.8,1659555009.939335
8.3,184.8,1659555024.9411693
8.4,184.8,1659555026.1078482
8.4,184.8,1659555041.1219153
8.5,184.8,1659555042.2954705
8.5,184.8,1659555057.2976224
8.6,184.8,1659555058.4642718
8.6,184.8,1659555073.4645255
8.7,184.8,1659555074.6356041
8.7,184.8,1659555089.6409123
8.8,184.8,1659555090.8083563
8.8,184.8,1659555105.8109653
8.9,184.8,1659555106.9744911
8.9,184.8,1659555121.978462
9.0,184.8,1659555123.1493912
9.0,184.8,1659555138.1533382
9.1,184.8,1659555139.3246653
9.1,184.8,1659555154.3315072
9.2,184.8,1659555155.4975615
9.2,184.8,1659555170.5029604
9.3,184.8,1659555171.6712005
9.3,184.8,1659555186.6775453
9.4,184.8,1659555187.8412564
9.4,184.8,1659555202.8433151
9.5,184.8,1659555203.998908
9.5,184.8,1659555219.0070336
9.6,184.8,1659555220.1696885
9.6,184.8,1659555235.1739912
9.7,184.8,1659555236.3409188
9.7,184.8,1659555251.3443215
9.8,184.8,1659555252.5130796
9.8,184.8,1659555267.5151637
9.9,184.8,1659555268.6772225
9.9,184.8,1659555283.6788077
10.0,184.8,1659555284.8623598
10.0,184.8,1659555299.8687685
10.1,184.8,1659555301.0368354
10.1,184.8,1659555316.0437288
10.2,184.8,1659555317.20783
10.2,184.8,1659555332.2227595
10.3,184.8,1659555333.391145
10.3,184.8,1659555348.4038508
10.4,184.8,1659555349.5709627
10.4,184.8,1659555364.5711226
10.5,184.8,1659555365.7357347
10.5,184.8,1659555380.736376
10.6,184.8,1659555381.9100938
10.6,184.8,1659555396.910138
10.7,184.8,1659555398.0862486
10.7,184.8,1659555413.0922108
10.8,184.8,1659555414.256473
10.8,184.8,1659555429.262681
10.9,184.8,1659555430.4327717
10.9,184.8,1659555445.440668
11.0,184.8,1659555446.6035473
11.0,184.8,1659555461.60992
11.1,184.8,1659555462.7825925
11.1,184.8,1659555477.7870314
11.2,184.8,1659555478.9584298
11.2,184.8,1659555493.9664557
11.3,184.8,1659555495.128463
11.3,184.8,1659555510.1290035
11.4,184.8,1659555511.2913902
11.4,184.8,1659555526.2993386
11.5,184.8,1659555527.4549782
11.5,184.8,1659555542.4625804
11.6,184.8,1659555543.6266432
11.6,184.8,1659555558.633618
11.7,184.8,1659555559.7994711
11.7,184.8,1659555574.8043506
11.8,184.8,1659555575.9770818
11.8,184.8,1659555590.983473
11.9,184.8,1659555592.1511583
11.9,184.8,1659555607.154092
12.0,184.8,1659555608.3240662
12.0,184.8,1659555623.330492
12.1,184.8,1659555624.509426
12.1,184.8,1659555639.5246189
12.2,184.8,1659555640.6867383
12.2,184.8,1659555655.687669
12.3,184.8,1659555656.8699594
12.3,184.8,1659555671.8738194
12.4,184.8,1659555673.033472
12.4,184.8,1659555688.0366986
12.5,184.8,1659555689.2021997
12.5,184.8,1659555704.2112598
12.6,184.8,1659555705.3836327
12.6,184.8,1659555720.3854198
12.7,184.8,1659555721.5510635
12.7,184.8,1659555736.55642
12.8,184.8,1659555737.7221375
12.8,184.8,1659555752.7280035
12.9,184.8,1659555753.8948834
12.9,184.8,1659555768.9042754
13.0,184.8,1659555770.0711675
13.0,184.8,1659555785.071587
13.1,184.8,1659555786.2440767
13.1,184.8,1659555801.2547696
13.2,184.8,1659555802.4239728
13.2,184.8,1659555817.4306626
13.3,184.8,1659555818.596837
13.3,184.8,1659555833.5980132
13.4,184.8,1659555834.7679844
13.4,184.8,1659555849.7802691
13.5,184.8,1659555850.9448195
13.5,184.8,1659555865.9466622
13.6,184.8,1659555867.1157305
13.6,184.8,1659555882.11683
13.7,184.8,1659555883.2817044
13.7,184.8,1659555898.2922657
13.8,184.8,1659555899.4562929
13.8,184.8,1659555914.4580126
13.9,184.8,1659555915.628042
13.9,184.8,1659555930.6287577
14.0,184.8,1659555931.7974527
14.0,184.8,1659555946.8038137
14.1,184.8,1659555947.9739752
14.1,184.8,1659555962.9865038
