Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,4.00000E-006,-537.25500E-015,9.00200E-003
1,1,2,23.00000E-006,-457.17900E-015,187.58900E-003
1,1,3,29.00000E-006,-379.79900E-015,365.00200E-003
1,1,4,35.00000E-006,-309.43300E-015,534.38300E-003
1,1,5,13.00000E-006,-228.67100E-015,739.58600E-003
1,1,6,-2.00000E-006,-172.14700E-015,910.36900E-003
1,1,7,13.00000E-006,-128.79900E-015,1.07976E+000
1,1,8,6.00000E-006,-66.48200E-015,1.29556E+000
1,1,9,36.00000E-006,-21.99000E-015,1.46746E+000
1,1,10,34.00000E-006,13.00000E-015,1.63683E+000
1,1,11,-4.00000E-006,45.80400E-015,1.84382E+000
1,1,12,12.00000E-006,69.46400E-015,2.01319E+000
1,1,13,39.00000E-006,95.25700E-015,2.18598E+000
1,1,14,17.00000E-006,117.33000E-015,2.37276E+000
1,1,15,0.00000E+000,138.09800E-015,2.54216E+000
1,1,16,-2.00000E-006,157.13300E-015,2.71156E+000
1,1,17,41.00000E-006,176.89200E-015,2.90212E+000
1,1,18,29.00000E-006,191.30500E-015,3.07151E+000
1,1,19,-1.00000E-006,207.27700E-015,3.24321E+000
1,1,20,17.00000E-006,219.07000E-015,3.44015E+000
1,1,21,0.00000E+000,226.32200E-015,3.60958E+000
1,1,22,1.00000E-006,237.40900E-015,3.77901E+000
1,1,23,0.00000E+000,247.78500E-015,3.99307E+000
1,1,24,0.00000E+000,249.97000E-015,4.16249E+000
1,1,25,21.00000E-006,257.21200E-015,4.33229E+000
1,1,26,36.00000E-006,274.03200E-015,4.53500E+000
1,1,27,0.00000E+000,309.24600E-015,4.71066E+000
1,1,28,21.00000E-006,353.56300E-015,4.88242E+000
1,1,29,4.00000E-006,419.27900E-015,5.07968E+000
1,1,30,21.00000E-006,481.35600E-015,5.24969E+000
1,1,31,31.00000E-006,546.62500E-015,5.42127E+000
1,1,32,27.00000E-006,618.21700E-015,5.63374E+000
1,1,33,31.00000E-006,669.16600E-015,5.80319E+000
1,1,34,25.00000E-006,718.74700E-015,5.97263E+000
1,1,35,29.00000E-006,774.36100E-015,6.18658E+000
1,1,36,25.00000E-006,814.32700E-015,6.35597E+000
1,1,37,12.00000E-006,850.62500E-015,6.52535E+000
1,1,38,27.00000E-006,892.20300E-015,6.73512E+000
1,1,39,27.00000E-006,922.80100E-015,6.90501E+000
1,1,40,16.00000E-006,946.56000E-015,7.07442E+000
1,1,41,17.00000E-006,972.41500E-015,7.29108E+000
1,1,42,8.00000E-006,997.49300E-015,7.46058E+000
1,1,43,13.00000E-006,1.01303E-012,7.63188E+000
1,1,44,9.00000E-006,1.02978E-012,7.84615E+000
1,1,45,12.00000E-006,1.03623E-012,8.01552E+000
1,1,46,22.00000E-006,1.02914E-012,8.18492E+000
1,1,47,22.00000E-006,1.00822E-012,8.40132E+000
1,1,48,26.00000E-006,976.68000E-015,8.57072E+000
1,1,49,21.00000E-006,931.18900E-015,8.74010E+000
1,1,50,22.00000E-006,866.08600E-015,8.95212E+000
1,1,51,26.00000E-006,819.41100E-015,9.12153E+000
1,1,52,20.00000E-006,770.57100E-015,9.29096E+000
1,1,53,13.00000E-006,718.92500E-015,9.51000E+000
1,1,54,15.00000E-006,678.38200E-015,9.68188E+000
1,1,55,21.00000E-006,646.78000E-015,9.85455E+000
1,1,56,12.00000E-006,613.64000E-015,10.06221E+000
1,1,57,14.00000E-006,588.00000E-015,10.23163E+000
1,1,58,18.00000E-006,564.69400E-015,10.40100E+000
1,1,59,19.00000E-006,551.18400E-015,10.61928E+000
1,1,60,18.00000E-006,541.54800E-015,10.78868E+000
1,1,61,16.00000E-006,528.22200E-015,10.95806E+000
1,1,62,18.00000E-006,515.74000E-015,11.17286E+000
1,1,63,17.00000E-006,505.71900E-015,11.34264E+000
1,1,64,15.00000E-006,501.29600E-015,11.51204E+000
1,1,65,18.00000E-006,488.75600E-015,11.73397E+000
1,1,66,20.00000E-006,475.35700E-015,11.90340E+000
1,1,67,18.00000E-006,466.56600E-015,12.07473E+000
1,1,68,21.00000E-006,456.29800E-015,12.28723E+000
1,1,69,19.00000E-006,450.03400E-015,12.45668E+000
1,1,70,16.00000E-006,441.09100E-015,12.63067E+000
1,1,71,16.00000E-006,421.95100E-015,12.84469E+000
1,1,72,17.00000E-006,419.81200E-015,13.01412E+000
1,1,73,18.00000E-006,416.25800E-015,13.18986E+000
1,1,74,18.00000E-006,414.01700E-015,13.39166E+000
1,1,75,15.00000E-006,411.07000E-015,13.56283E+000
1,1,76,16.00000E-006,404.65500E-015,13.73221E+000
1,1,77,15.00000E-006,398.58500E-015,13.94840E+000
1,1,78,20.00000E-006,395.84500E-015,14.12050E+000
1,1,79,18.00000E-006,394.27200E-015,14.28989E+000
1,1,80,17.00000E-006,393.40500E-015,14.50083E+000
1,1,81,13.00000E-006,394.88100E-015,14.67809E+000
1,1,82,13.00000E-006,395.27900E-015,14.84793E+000
1,1,83,21.00000E-006,396.10100E-015,15.05481E+000
1,1,84,12.00000E-006,395.75200E-015,15.22695E+000
1,1,85,12.00000E-006,392.34900E-015,15.39633E+000
1,1,86,12.00000E-006,385.95800E-015,15.61233E+000
1,1,87,16.00000E-006,389.93000E-015,15.78347E+000
1,1,88,21.00000E-006,390.98900E-015,15.95286E+000
1,1,89,16.00000E-006,384.56500E-015,16.16617E+000
1,1,90,22.00000E-006,381.92200E-015,16.33756E+000
1,1,91,14.00000E-006,377.62000E-015,16.51005E+000
1,1,92,22.00000E-006,371.96300E-015,16.72100E+000
1,1,93,13.00000E-006,376.24900E-015,16.89294E+000
1,1,94,12.00000E-006,371.21700E-015,17.06233E+000
1,1,95,16.00000E-006,373.01600E-015,17.27562E+000
1,1,96,12.00000E-006,376.66400E-015,17.44502E+000
1,1,97,12.00000E-006,384.38000E-015,17.61439E+000
1,1,98,14.00000E-006,387.84200E-015,17.83196E+000
1,1,99,19.00000E-006,387.13100E-015,18.00135E+000
1,1,100,21.00000E-006,386.03800E-015,18.17210E+000
1,1,101,19.00000E-006,382.87000E-015,18.38494E+000
1,1,102,21.00000E-006,382.44400E-015,18.55433E+000
1,1,103,18.00000E-006,387.04900E-015,18.72370E+000
1,1,104,11.00000E-006,382.86300E-015,18.94610E+000
1,1,105,15.00000E-006,380.05700E-015,19.11577E+000
1,1,106,19.00000E-006,381.34600E-015,19.28516E+000
1,1,107,11.00000E-006,377.17500E-015,19.49566E+000
1,1,108,14.00000E-006,373.51600E-015,19.66510E+000
1,1,109,17.00000E-006,371.79700E-015,19.83447E+000
1,1,110,18.00000E-006,371.87600E-015,20.03727E+000
1,1,111,17.00000E-006,368.99400E-015,20.20705E+000
1,1,112,13.00000E-006,366.32800E-015,20.37883E+000
1,1,113,17.00000E-006,366.83700E-015,20.59897E+000
1,1,114,19.00000E-006,360.56100E-015,20.76836E+000
1,1,115,16.00000E-006,358.10300E-015,20.93951E+000
1,1,116,16.00000E-006,361.48400E-015,21.14410E+000
1,1,117,16.00000E-006,362.02900E-015,21.31604E+000
1,1,118,18.00000E-006,365.38400E-015,21.48547E+000
1,1,119,17.00000E-006,366.78600E-015,21.68563E+000
1,1,120,16.00000E-006,366.07700E-015,21.85501E+000
1,1,121,17.00000E-006,366.12500E-015,22.02440E+000
1,1,122,19.00000E-006,363.54300E-015,22.24051E+000
1,1,123,20.00000E-006,362.89800E-015,22.41177E+000
1,1,124,19.00000E-006,358.18600E-015,22.58116E+000
1,1,125,17.00000E-006,363.06300E-015,22.80122E+000
1,1,126,14.00000E-006,363.15400E-015,22.97062E+000
1,1,127,16.00000E-006,366.65300E-015,23.14072E+000
1,1,128,21.00000E-006,364.38700E-015,23.36279E+000
1,1,129,18.00000E-006,360.32300E-015,23.53222E+000
1,1,130,11.00000E-006,363.51600E-015,23.70310E+000
1,1,131,23.00000E-006,366.42400E-015,23.91375E+000
1,1,132,18.00000E-006,373.83700E-015,24.08314E+000
1,1,133,12.00000E-006,377.69200E-015,24.25259E+000
1,1,134,18.00000E-006,376.15000E-015,24.46546E+000
1,1,135,11.00000E-006,380.27500E-015,24.63488E+000
1,1,136,10.00000E-006,376.37400E-015,24.80431E+000
1,1,137,19.00000E-006,382.81100E-015,25.02450E+000
1,1,138,20.00000E-006,378.23600E-015,25.19932E+000
1,1,139,9.00000E-006,386.56000E-015,25.36875E+000
1,1,140,26.00000E-006,390.96900E-015,25.57999E+000
1,1,141,17.00000E-006,390.86000E-015,25.74940E+000
1,1,142,5.00000E-006,388.48900E-015,25.92103E+000
1,1,143,8.00000E-006,379.31600E-015,26.13902E+000
