Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659607998.5577476, 51.0, 51.0, 0.1, 800000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
51.0,50.7289,0.00290,5.27286e+01,5.27288e+01,5.27288e+01,5.27286e+01,5.27287e+01,5.27281e+01,5.27287e+01,5.27287e+01,5.27288e+01,5.27286e+01,5.16574e-09,1.47025e-09,2.20537e-09,4.49022e-09,3.16898e-09,1.31230e-08,3.40740e-09,3.38753e-09,1.89741e-09,5.71211e-09,1659608007.0504446,1659608007.513291,1659608007.9760466,1659608008.4386547,1659608008.90111,1659608009.3641303,1659608009.827976,1659608010.2922616,1659608010.7546742,1659608011.217237
51.0,50.7284,0.00290,5.27280e+01,5.27282e+01,5.27283e+01,5.27281e+01,5.27281e+01,5.27276e+01,5.27282e+01,5.27281e+01,5.27281e+01,5.27280e+01,7.38104e-09,3.32793e-09,8.44399e-10,5.02666e-09,4.26173e-09,1.30534e-08,3.83457e-09,5.61277e-09,5.75185e-09,6.90420e-09,1659608013.2346292,1659608013.697195,1659608014.1602259,1659608014.6226978,1659608015.0841937,1659608015.5467975,1659608016.0095382,1659608016.4725184,1659608016.9349792,1659608017.39775
51.0,50.7285,0.00290,5.27279e+01,5.27283e+01,5.27284e+01,5.27280e+01,5.27280e+01,5.27276e+01,5.27281e+01,5.27280e+01,5.27280e+01,5.27283e+01,9.45727e-09,2.85109e-09,2.23517e-09,7.98702e-09,8.06650e-09,1.55866e-08,6.44724e-09,9.08971e-09,8.56320e-09,3.87430e-09,1659608019.4149942,1659608019.8801634,1659608020.342783,1659608020.8053179,1659608021.2681348,1659608021.7308877,1659608022.1934273,1659608022.6566124,1659608023.119486,1659608023.5821397
51.0,50.73,0.00290,5.27295e+01,5.27298e+01,5.27298e+01,5.27297e+01,5.27296e+01,5.27292e+01,5.27296e+01,5.27295e+01,5.27297e+01,5.27297e+01,8.93076e-09,3.49681e-09,3.43720e-09,5.38429e-09,7.09295e-09,1.28448e-08,6.86447e-09,8.67248e-09,5.79158e-09,5.73198e-09,1659608025.6027107,1659608026.064682,1659608026.526152,1659608026.9881263,1659608027.450527,1659608027.914889,1659608028.3775644,1659608028.8400571,1659608029.302633,1659608029.767525
51.0,50.7302,0.00290,5.27298e+01,5.27301e+01,5.27301e+01,5.27298e+01,5.27297e+01,5.27293e+01,5.27301e+01,5.27296e+01,5.27299e+01,5.27298e+01,7.22210e-09,1.76827e-09,1.89741e-09,5.88099e-09,8.35458e-09,1.52886e-08,2.32458e-09,9.23872e-09,4.78824e-09,6.23862e-09,1659608031.7909985,1659608032.2562926,1659608032.718783,1659608033.1828163,1659608033.6454678,1659608034.1088252,1659608034.5721684,1659608035.0347133,1659608035.4990008,1659608035.9614472
51.0,50.7309,0.00290,5.27304e+01,5.27307e+01,5.27307e+01,5.27304e+01,5.27305e+01,5.27301e+01,5.27305e+01,5.27303e+01,5.27304e+01,5.27306e+01,8.95063e-09,3.12924e-09,3.75509e-09,7.94729e-09,7.28170e-09,1.31826e-08,5.84126e-09,9.91424e-09,7.68900e-09,5.64257e-09,1659608037.9828887,1659608038.4456263,1659608038.916133,1659608039.3787656,1659608039.841502,1659608040.304701,1659608040.767999,1659608041.230817,1659608041.6934636,1659608042.156551
51.0,50.7301,0.00290,5.27295e+01,5.27299e+01,5.27300e+01,5.27296e+01,5.27296e+01,5.27292e+01,5.27297e+01,5.27297e+01,5.27298e+01,5.27298e+01,9.74536e-09,3.15905e-09,1.51992e-09,8.44399e-09,8.55327e-09,1.50899e-08,6.03994e-09,6.14921e-09,4.71870e-09,5.07633e-09,1659608044.1870427,1659608044.6494968,1659608045.111856,1659608045.5774076,1659608046.04022,1659608046.5029073,1659608046.9654565,1659608047.4290571,1659608047.8920746,1659608048.3565605
51.0,50.7301,0.00290,5.27295e+01,5.27299e+01,5.27299e+01,5.27296e+01,5.27296e+01,5.27293e+01,5.27298e+01,5.27295e+01,5.27297e+01,5.27299e+01,9.61622e-09,3.24845e-09,2.89083e-09,8.20557e-09,9.12944e-09,1.38283e-08,5.58297e-09,1.01626e-08,5.95053e-09,3.64582e-09,1659608050.3797898,1659608050.8444803,1659608051.3069172,1659608051.7695026,1659608052.232761,1659608052.6957378,1659608053.1582978,1659608053.6203516,1659608054.0829039,1659608054.5453243
51.0,50.7297,0.00290,5.27291e+01,5.27294e+01,5.27296e+01,5.27293e+01,5.27293e+01,5.27289e+01,5.27293e+01,5.27292e+01,5.27294e+01,5.27294e+01,9.24865e-09,5.82139e-09,1.61926e-09,7.12276e-09,7.33137e-09,1.38978e-08,6.95388e-09,8.55327e-09,5.61277e-09,5.78165e-09,1659608056.559691,1659608057.0221934,1659608057.4842534,1659608057.9468653,1659608058.4094353,1659608058.872582,1659608059.3358693,1659608059.7994878,1659608060.262116,1659608060.7243927
51.0,50.7302,0.00290,5.27297e+01,5.27300e+01,5.27300e+01,5.27298e+01,5.27297e+01,5.27292e+01,5.27299e+01,5.27297e+01,5.27300e+01,5.27297e+01,8.84136e-09,2.86102e-09,3.58621e-09,6.89427e-09,8.18570e-09,1.59343e-08,5.43396e-09,7.55986e-09,4.15246e-09,8.36452e-09,1659608062.736823,1659608063.19852,1659608063.661285,1659608064.1241465,1659608064.5888414,1659608065.0521162,1659608065.5147204,1659608065.9771876,1659608066.4400496,1659608066.9026666
