#Scanning from (x0, y0) = (0 mm, 179 mm), to (x1, y1) = (20 mm, 179 mm), linear step (ds) = 0.1 mm, time step (dt) = 20 s, start time (t0) = 1659816575.2274876 s
x-pos,y-pos,time
0.0,179.0,1659816575.2354834
0.0,179.0,1659816595.2366173
0.1,179.0,1659816596.4065561
0.1,179.0,1659816616.4141517
0.2,179.0,1659816617.5783155
0.2,179.0,1659816637.5787346
0.3,179.0,1659816638.7420523
0.3,179.0,1659816658.7494226
0.4,179.0,1659816659.914398
0.4,179.0,1659816679.9268007
0.5,179.0,1659816681.1060426
0.5,179.0,1659816701.112988
0.6,179.0,1659816702.2796054
0.6,179.0,1659816722.2940896
0.7,179.0,1659816723.4621503
0.7,179.0,1659816743.4726295
0.8,179.0,1659816744.6359313
0.8,179.0,1659816764.64332
0.9,179.0,1659816765.8068357
0.9,179.0,1659816785.8071022
1.0,179.0,1659816786.975004
1.0,179.0,1659816806.9829607
1.1,179.0,1659816808.1531262
1.1,179.0,1659816828.1574538
1.2,179.0,1659816829.3267884
1.2,179.0,1659816849.3283918
1.3,179.0,1659816850.4988344
1.3,179.0,1659816870.4999297
1.4,179.0,1659816871.659191
1.4,179.0,1659816891.6660938
1.5,179.0,1659816892.8352475
1.5,179.0,1659816912.85086
1.6,179.0,1659816914.0170467
1.6,179.0,1659816934.0201478
1.7,179.0,1659816935.1868703
1.7,179.0,1659816955.1920016
1.8,179.0,1659816956.3606186
1.8,179.0,1659816976.3610432
1.9,179.0,1659816977.5293229
1.9,179.0,1659816997.5317202
2.0,179.0,1659816998.6998487
2.0,179.0,1659817018.7055297
2.1,179.0,1659817019.8712606
2.1,179.0,1659817039.8726497
2.2,179.0,1659817041.052434
2.2,179.0,1659817061.0583563
2.3,179.0,1659817062.227793
2.3,179.0,1659817082.235061
2.4,179.0,1659817083.405113
2.4,179.0,1659817103.4101372
2.5,179.0,1659817104.5706823
2.5,179.0,1659817124.576783
2.6,179.0,1659817125.7438653
2.6,179.0,1659817145.7484074
2.7,179.0,1659817146.9140356
2.7,179.0,1659817166.9201236
2.8,179.0,1659817168.0970364
2.8,179.0,1659817188.1030767
2.9,179.0,1659817189.2697058
2.9,179.0,1659817209.2816594
3.0,179.0,1659817210.4537725
3.0,179.0,1659817230.4567294
3.1,179.0,1659817231.628405
3.1,179.0,1659817251.6331522
3.2,179.0,1659817252.8022556
3.2,179.0,1659817272.8108594
3.3,179.0,1659817273.9891236
3.3,179.0,1659817293.9953175
3.4,179.0,1659817295.1682103
3.4,179.0,1659817315.1795185
3.5,179.0,1659817316.3429947
3.5,179.0,1659817336.3447065
3.6,179.0,1659817337.509043
