#Scanning from (x0, y0) = (40 mm, 170 mm), to (x1, y1) = (80 mm, 210 mm), linear step (ds) = 2 mm, time step (dt) = 30 s, start time (t0) = 1659832218.8294022 s
x-pos,y-pos,time
40.0,170.0,1659832231.4741225
40.0,170.0,1659832261.4777079
40.0,172.0,1659832263.9964082
40.0,172.0,1659832294.0110295
40.0,174.0,1659832296.5285773
40.0,174.0,1659832326.53046
40.0,176.0,1659832329.050184
40.0,176.0,1659832359.0518668
40.0,178.0,1659832361.583428
40.0,178.0,1659832391.5888643
40.0,180.0,1659832394.1090524
40.0,180.0,1659832424.1210425
40.0,182.0,1659832426.6358943
40.0,182.0,1659832456.6427867
40.0,184.0,1659832459.1592326
40.0,184.0,1659832489.1662157
40.0,186.0,1659832491.6834798
40.0,186.0,1659832521.6892633
40.0,188.0,1659832524.2088153
40.0,188.0,1659832554.2146933
40.0,190.0,1659832556.7442565
40.0,190.0,1659832586.750359
40.0,192.0,1659832589.2755253
40.0,192.0,1659832619.2853715
40.0,194.0,1659832621.8118281
40.0,194.0,1659832651.8199296
40.0,196.0,1659832654.3422387
40.0,196.0,1659832684.3427098
40.0,198.0,1659832686.8596272
40.0,198.0,1659832716.8646226
40.0,200.0,1659832719.383345
40.0,200.0,1659832749.3909822
40.0,202.0,1659832751.9120512
40.0,202.0,1659832781.9195929
40.0,204.0,1659832784.441981
40.0,204.0,1659832814.4509604
40.0,206.0,1659832816.9657664
40.0,206.0,1659832846.9664626
40.0,208.0,1659832849.4786615
40.0,208.0,1659832879.4810054
40.0,210.0,1659832881.9922373
40.0,210.0,1659832911.996427
42.0,210.0,1659832913.881721
42.0,210.0,1659832943.8964102
42.0,208.0,1659832946.4200122
42.0,208.0,1659832976.4279113
42.0,206.0,1659832978.9480886
42.0,206.0,1659833008.9539528
42.0,204.0,1659833011.469066
42.0,204.0,1659833041.4796746
42.0,202.0,1659833043.9982185
42.0,202.0,1659833073.999444
42.0,200.0,1659833076.517893
42.0,200.0,1659833106.523285
42.0,198.0,1659833109.0367148
42.0,198.0,1659833139.037878
42.0,196.0,1659833141.5512965
42.0,196.0,1659833171.5523803
42.0,194.0,1659833174.0650167
42.0,194.0,1659833204.0689979
42.0,192.0,1659833206.587821
42.0,192.0,1659833236.589366
42.0,190.0,1659833239.1118674
42.0,190.0,1659833269.1183496
42.0,188.0,1659833271.6317778
42.0,188.0,1659833301.6391358
42.0,186.0,1659833304.158132
42.0,186.0,1659833334.161386
42.0,184.0,1659833336.6748736
42.0,184.0,1659833366.6763234
42.0,182.0,1659833369.1950455
42.0,182.0,1659833399.2100682
42.0,180.0,1659833401.7243862
42.0,180.0,1659833431.732099
42.0,178.0,1659833434.25581
42.0,178.0,1659833464.2576635
42.0,176.0,1659833466.7720864
42.0,176.0,1659833496.7848687
42.0,174.0,1659833499.298692
42.0,174.0,1659833529.308474
42.0,172.0,1659833531.8329937
42.0,172.0,1659833561.8389218
42.0,170.0,1659833564.3570254
42.0,170.0,1659833594.3672209
44.0,170.0,1659833596.2400827
44.0,170.0,1659833626.2421992
44.0,172.0,1659833628.7497344
44.0,172.0,1659833658.751486
44.0,174.0,1659833661.27926
44.0,174.0,1659833691.28527
44.0,176.0,1659833693.799846
44.0,176.0,1659833723.810298
44.0,178.0,1659833726.3246744
44.0,178.0,1659833756.331893
44.0,180.0,1659833758.8604908
44.0,180.0,1659833788.8680105
44.0,182.0,1659833791.3875241
44.0,182.0,1659833821.3921046
44.0,184.0,1659833823.9065928
44.0,184.0,1659833853.907902
44.0,186.0,1659833856.4279132
44.0,186.0,1659833886.4301567
44.0,188.0,1659833888.9446867
44.0,188.0,1659833918.9483721
44.0,190.0,1659833921.471597
44.0,190.0,1659833951.4798367
44.0,192.0,1659833953.9948587
44.0,192.0,1659833984.0013642
44.0,194.0,1659833986.5262308
44.0,194.0,1659834016.5329614
44.0,196.0,1659834019.0477753
44.0,196.0,1659834049.0486317
44.0,198.0,1659834051.5625463
44.0,198.0,1659834081.570994
44.0,200.0,1659834084.0908363
44.0,200.0,1659834114.0988753
44.0,202.0,1659834116.6222055
44.0,202.0,1659834146.6246176
44.0,204.0,1659834149.1495073
44.0,204.0,1659834179.1646435
44.0,206.0,1659834181.6868837
44.0,206.0,1659834211.695152
44.0,208.0,1659834214.209367
44.0,208.0,1659834244.2160623
44.0,210.0,1659834246.7456062
44.0,210.0,1659834276.7521424
46.0,210.0,1659834278.6302311
46.0,210.0,1659834308.6309614
46.0,208.0,1659834311.1458428
46.0,208.0,1659834341.1518724
46.0,206.0,1659834343.6706107
46.0,206.0,1659834373.6801546
46.0,204.0,1659834376.1959932
46.0,204.0,1659834406.1998143
46.0,202.0,1659834408.7219994
46.0,202.0,1659834438.7316983
46.0,200.0,1659834441.250916
46.0,200.0,1659834471.2530487
46.0,198.0,1659834473.7725208
46.0,198.0,1659834503.7878838
46.0,196.0,1659834506.3032663
46.0,196.0,1659834536.3111615
46.0,194.0,1659834538.8344827
46.0,194.0,1659834568.8356614
46.0,192.0,1659834571.3507745
46.0,192.0,1659834601.355034
46.0,190.0,1659834603.8738132
46.0,190.0,1659834633.8834965
46.0,188.0,1659834636.403702
46.0,188.0,1659834666.4139688
46.0,186.0,1659834668.9322631
46.0,186.0,1659834698.9330473
46.0,184.0,1659834701.4476485
46.0,184.0,1659834731.4487712
46.0,182.0,1659834733.9727278
46.0,182.0,1659834763.9743092
46.0,180.0,1659834766.4946687
46.0,180.0,1659834796.4990523
46.0,178.0,1659834799.0147605
46.0,178.0,1659834829.0150313
46.0,176.0,1659834831.537359
46.0,176.0,1659834861.5429916
46.0,174.0,1659834864.058256
46.0,174.0,1659834894.0614116
46.0,172.0,1659834896.5776927
46.0,172.0,1659834926.584054
46.0,170.0,1659834929.109374
46.0,170.0,1659834959.1131012
48.0,170.0,1659834960.9930508
48.0,170.0,1659834990.9995818
48.0,172.0,1659834993.525229
48.0,172.0,1659835023.5408506
48.0,174.0,1659835026.0647218
48.0,174.0,1659835056.0720718
48.0,176.0,1659835058.5902085
48.0,176.0,1659835088.6046357
48.0,178.0,1659835091.1336215
48.0,178.0,1659835121.1436045
48.0,180.0,1659835123.6697884
48.0,180.0,1659835153.67058
48.0,182.0,1659835156.1851573
48.0,182.0,1659835186.1938066
48.0,184.0,1659835188.7024899
48.0,184.0,1659835218.7104902
48.0,186.0,1659835221.2237034
48.0,186.0,1659835251.2376835
48.0,188.0,1659835253.765625
48.0,188.0,1659835283.7665508
48.0,190.0,1659835286.285154
48.0,190.0,1659835316.292234
48.0,192.0,1659835318.8133373
48.0,192.0,1659835348.8177745
48.0,194.0,1659835351.332761
48.0,194.0,1659835381.336207
48.0,196.0,1659835383.8508084
48.0,196.0,1659835413.8579361
48.0,198.0,1659835416.387611
48.0,198.0,1659835446.396
48.0,200.0,1659835448.915405
48.0,200.0,1659835478.9215744
48.0,202.0,1659835481.4441133
48.0,202.0,1659835511.4507484
48.0,204.0,1659835513.965554
48.0,204.0,1659835543.972053
48.0,206.0,1659835546.490199
48.0,206.0,1659835576.5048437
48.0,208.0,1659835579.0230541
48.0,208.0,1659835609.0250156
48.0,210.0,1659835611.5476296
48.0,210.0,1659835641.5482793
50.0,210.0,1659835643.4378011
50.0,210.0,1659835673.438152
50.0,208.0,1659835675.9558423
50.0,208.0,1659835705.9624195
50.0,206.0,1659835708.4781823
50.0,206.0,1659835738.485891
50.0,204.0,1659835741.003975
50.0,204.0,1659835771.0134962
50.0,202.0,1659835773.5274572
50.0,202.0,1659835803.5348086
50.0,200.0,1659835806.059046
50.0,200.0,1659835836.071109
50.0,198.0,1659835838.6471622
50.0,198.0,1659835868.652402
50.0,196.0,1659835871.1732347
50.0,196.0,1659835901.173381
50.0,194.0,1659835903.6875417
50.0,194.0,1659835933.6919656
50.0,192.0,1659835936.217024
50.0,192.0,1659835966.2213917
50.0,190.0,1659835968.7366474
50.0,190.0,1659835998.7390857
50.0,188.0,1659836001.2602527
50.0,188.0,1659836031.2671201
50.0,186.0,1659836033.7915807
50.0,186.0,1659836063.7966878
50.0,184.0,1659836066.3135724
50.0,184.0,1659836096.326978
50.0,182.0,1659836098.8430908
50.0,182.0,1659836128.8569865
50.0,180.0,1659836131.3777075
50.0,180.0,1659836161.3872516
50.0,178.0,1659836163.911863
50.0,178.0,1659836193.916403
50.0,176.0,1659836196.4308126
50.0,176.0,1659836226.4315746
50.0,174.0,1659836228.947555
50.0,174.0,1659836258.9653943
50.0,172.0,1659836261.485845
50.0,172.0,1659836291.4866
50.0,170.0,1659836294.0018551
50.0,170.0,1659836324.01142
52.0,170.0,1659836325.8907084
52.0,170.0,1659836355.900001
52.0,172.0,1659836358.4152744
52.0,172.0,1659836388.4181478
52.0,174.0,1659836390.9343734
52.0,174.0,1659836420.9359117
52.0,176.0,1659836423.4582384
52.0,176.0,1659836453.4587376
52.0,178.0,1659836455.9732962
52.0,178.0,1659836485.980589
52.0,180.0,1659836488.4947565
52.0,180.0,1659836518.5020175
52.0,182.0,1659836521.0346746
52.0,182.0,1659836551.0405276
52.0,184.0,1659836553.5605805
52.0,184.0,1659836583.570502
52.0,186.0,1659836586.084735
52.0,186.0,1659836616.092762
52.0,188.0,1659836618.619134
52.0,188.0,1659836648.6249373
52.0,190.0,1659836651.1416123
52.0,190.0,1659836681.1443627
52.0,192.0,1659836683.6592834
52.0,192.0,1659836713.662933
52.0,194.0,1659836716.1878724
52.0,194.0,1659836746.1932898
52.0,196.0,1659836748.7139144
52.0,196.0,1659836778.7259252
52.0,198.0,1659836781.2493696
52.0,198.0,1659836811.2500942
52.0,200.0,1659836813.7637658
52.0,200.0,1659836843.7674909
52.0,202.0,1659836846.2923086
52.0,202.0,1659836876.3028107
52.0,204.0,1659836878.8176212
52.0,204.0,1659836908.8193505
52.0,206.0,1659836911.3397563
52.0,206.0,1659836941.341718
52.0,208.0,1659836943.867476
52.0,208.0,1659836973.878615
52.0,210.0,1659836976.390923
52.0,210.0,1659837006.394954
54.0,210.0,1659837008.2742925
54.0,210.0,1659837038.285855
54.0,208.0,1659837040.8087854
54.0,208.0,1659837070.8120735
54.0,206.0,1659837073.3260632
54.0,206.0,1659837103.3369513
54.0,204.0,1659837105.8506413
54.0,204.0,1659837135.8515732
54.0,202.0,1659837138.3665984
54.0,202.0,1659837168.3755755
54.0,200.0,1659837170.8908954
