Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659849617.2475626, 55.0, 55.0, 5.0, 5000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_16 (V),IsCH_16 (A),TsCH_16 (s)
55.0,54.7446,0.02230,5.66330e+01,1.86068e-06,1659849625.7580092
55.0,54.7442,0.02230,5.66332e+01,1.85039e-06,1659849627.789557
55.0,54.7464,0.02230,5.66350e+01,1.85702e-06,1659849629.8149526
55.0,54.7451,0.02230,5.66371e+01,1.80099e-06,1659849631.8349006
55.0,54.7467,0.02230,5.66358e+01,1.84929e-06,1659849633.8554485
55.0,54.7464,0.02230,5.66347e+01,1.86189e-06,1659849635.8731596
55.0,54.7458,0.02230,5.66333e+01,1.87506e-06,1659849637.908807
55.0,54.7465,0.02230,5.66377e+01,1.81385e-06,1659849639.9377441
55.0,54.7453,0.02230,5.66357e+01,1.82703e-06,1659849641.96189
55.0,54.7452,0.02230,5.66358e+01,1.82299e-06,1659849643.997437
55.0,54.7467,0.02230,5.66379e+01,1.81421e-06,1659849646.0229504
55.0,54.7453,0.02230,5.66331e+01,1.87004e-06,1659849648.0561688
55.0,54.7469,0.02230,5.66352e+01,1.86275e-06,1659849650.0877557
55.0,54.746,0.02230,5.66336e+01,1.87373e-06,1659849652.1269097
55.0,54.7456,0.02230,5.66365e+01,1.81918e-06,1659849654.1755335
55.0,54.7469,0.02230,5.66346e+01,1.87257e-06,1659849656.2079191
55.0,54.747,0.02230,5.66344e+01,1.87666e-06,1659849658.2388341
55.0,54.746,0.02230,5.66344e+01,1.85972e-06,1659849660.2734692
55.0,54.747,0.02230,5.66351e+01,1.86529e-06,1659849662.3039043
55.0,54.7466,0.02230,5.66345e+01,1.86934e-06,1659849664.3430843
55.0,54.7466,0.02230,5.66347e+01,1.86575e-06,1659849666.3839798
55.0,54.7466,0.02230,5.66346e+01,1.86705e-06,1659849668.4106655
55.0,54.7465,0.02230,5.66348e+01,1.86264e-06,1659849670.451731
55.0,54.7456,0.02230,5.66336e+01,1.86754e-06,1659849672.479281
55.0,54.746,0.02230,5.66341e+01,1.86498e-06,1659849674.5120153
