X,Y,I,Ierr
40.0,170.0,1.409946e-07,6.966234207949083e-09
40.0,172.0,1.1256575e-07,4.001903757900733e-09
40.0,174.0,8.2147625e-08,4.81430923257688e-09
40.0,176.0,5.0500050000000005e-08,4.257861053686464e-09
40.0,178.0,3.1640125e-08,1.461817135237851e-09
40.0,180.0,2.3402275e-08,1.8391796314865489e-09
40.0,182.0,1.8487349999999998e-08,8.278024930501233e-10
40.0,184.0,1.9470860000000004e-08,1.5047496224953836e-09
40.0,186.0,1.6398725000000002e-08,1.54229705857043e-09
40.0,188.0,1.5365599999999998e-08,7.432946353903007e-10
40.0,190.0,1.6642124999999998e-08,2.138523388199203e-09
40.0,192.0,1.5522025e-08,2.4176542539980773e-09
40.0,194.0,1.5465419999999998e-08,4.183478523908066e-10
40.0,196.0,1.421575e-08,9.338360790310039e-10
40.0,198.0,1.3951440000000002e-08,1.1066432679052454e-09
40.0,200.0,1.5070025e-08,1.30765189437977e-09
40.0,202.0,1.43647e-08,1.6811170497618534e-09
40.0,204.0,1.49111e-08,2.586887608691184e-10
40.0,206.0,1.3607225e-08,1.1508776876258396e-09
40.0,208.0,1.46389e-08,9.0960988561031e-10
40.0,210.0,1.3778625e-08,9.869192960293163e-10
42.0,210.0,1.3828300000000003e-08,6.986791910455044e-10
42.0,208.0,1.3234725e-08,2.3527098220721985e-09
42.0,206.0,1.5006460000000003e-08,2.0935227838263427e-09
42.0,204.0,1.50303e-08,1.5161627534667904e-09
42.0,202.0,1.6835825e-08,2.961347191313436e-10
42.0,200.0,1.42331e-08,1.8240718941423328e-09
42.0,198.0,1.612555e-08,1.4209440831714672e-09
42.0,196.0,1.634162e-08,2.140560756811168e-09
42.0,194.0,1.645585e-08,1.940042745018779e-09
42.0,192.0,1.684626e-08,1.6965026726769405e-09
42.0,190.0,1.6478199999999998e-08,1.3393235382087478e-09
42.0,188.0,1.5690925e-08,1.1822538758130585e-09
42.0,186.0,1.6416125e-08,1.2267209531409334e-09
42.0,184.0,1.8273775e-08,1.0142444389174635e-09
42.0,182.0,2.0757325e-08,2.296975024216633e-09
42.0,180.0,2.2490849999999998e-08,9.662422431771435e-10
42.0,178.0,2.613268e-08,2.125761971058848e-09
42.0,176.0,4.15519e-08,2.0067633704550198e-09
42.0,174.0,6.3449125e-08,4.602066103596838e-09
42.0,172.0,9.841955e-08,4.813876537936966e-09
42.0,170.0,1.2289725e-07,6.031936520513125e-09
44.0,170.0,1.1683499999999999e-07,6.451885422107246e-09
44.0,172.0,1.0004392499999999e-07,2.4294857700499063e-09
44.0,174.0,6.58383e-08,4.345525071265842e-09
44.0,176.0,4.3392174999999995e-08,2.7225139764333617e-09
44.0,178.0,3.0098360000000005e-08,1.349793081327653e-09
44.0,180.0,2.2607575e-08,1.1753677517589975e-09
44.0,182.0,2.2533025e-08,2.733522121275036e-10
44.0,184.0,1.9202649999999998e-08,1.3308134157349037e-09
44.0,186.0,1.9113225e-08,1.4152453627816629e-09
44.0,188.0,1.8733225e-08,1.3926812833074905e-09
44.0,190.0,1.8653775e-08,5.974007883113311e-10
44.0,192.0,1.652042e-08,1.3138533303226808e-09
44.0,194.0,1.56338e-08,1.7183174954006603e-09
44.0,196.0,1.6642100000000003e-08,1.4463990856606626e-09
44.0,198.0,1.3848149999999999e-08,7.455418046628907e-10
44.0,200.0,1.457335e-08,1.1389454168220705e-09
44.0,202.0,1.4650819999999999e-08,1.4358170320761622e-09
44.0,204.0,1.6808499999999998e-08,1.1248246663369371e-09
44.0,206.0,1.5042219999999997e-08,1.6223368039960132e-09
44.0,208.0,1.4563400000000001e-08,3.5933514300719287e-10
44.0,210.0,1.4712400000000001e-08,1.7875538383500514e-09
46.0,210.0,1.2345600000000002e-08,5.610415982794857e-10
46.0,208.0,1.5795249999999997e-08,1.4907038379570903e-09
46.0,206.0,1.5273700000000002e-08,1.030220682669495e-09
46.0,204.0,1.6746425e-08,1.240237915431955e-09
46.0,202.0,1.53621e-08,1.4269061650998636e-09
46.0,200.0,1.4550999999999999e-08,1.913040075377408e-09
46.0,198.0,1.552302e-08,1.3756188475010072e-09
46.0,196.0,1.78218e-08,1.987166276384541e-09
46.0,194.0,1.7181050000000003e-08,1.2108715900127477e-09
46.0,192.0,1.689795e-08,1.0585103908323248e-09
46.0,190.0,1.8407900000000003e-08,2.235794604832922e-09
46.0,188.0,1.8135719999999998e-08,1.1177534941121853e-09
46.0,186.0,1.8000600000000002e-08,9.557758183800205e-10
46.0,184.0,2.124905e-08,4.172428579376769e-10
46.0,182.0,2.3732575e-08,1.4082831895165828e-09
46.0,180.0,2.56573e-08,2.717252226054843e-09
46.0,178.0,2.95813e-08,2.1155291063939533e-09
46.0,176.0,3.966935e-08,3.015226545800498e-09
46.0,174.0,6.06199e-08,2.2816846355270067e-09
46.0,172.0,7.659445e-08,4.383856566141275e-09
46.0,170.0,1.00550775e-07,2.679701345649363e-09
48.0,170.0,1.0282565e-07,6.733711076924816e-09
48.0,172.0,8.463115e-08,2.3824852460193735e-09
48.0,174.0,6.577375e-08,3.974379809794229e-09
48.0,176.0,4.6816975e-08,2.344667114298958e-09
48.0,178.0,3.5427475e-08,2.4699497761847295e-09
48.0,180.0,2.69537e-08,1.2593788885796046e-09
48.0,182.0,2.563796e-08,1.7871098797779613e-09
48.0,184.0,2.298255e-08,1.2172730537968874e-09
48.0,186.0,2.030285e-08,8.050916981934415e-10
48.0,188.0,2.0831850000000003e-08,4.4493225607950684e-10
48.0,190.0,1.914055e-08,9.68195575542462e-10
48.0,192.0,2.0315275e-08,1.56464946773231e-09
48.0,194.0,1.693515e-08,5.95979133443446e-10
48.0,196.0,1.7895300000000002e-08,1.3090451604127339e-09
48.0,198.0,1.8251474999999998e-08,1.688964292658374e-09
48.0,200.0,1.4046825e-08,1.5123699156869662e-09
48.0,202.0,1.3925149999999999e-08,2.946199644881521e-09
48.0,204.0,1.555185e-08,1.469158576362674e-09
48.0,206.0,1.5810125e-08,2.0793994642384136e-09
48.0,208.0,1.86215e-08,2.742688107496002e-09
48.0,210.0,1.3639539999999999e-08,1.4246027946062723e-09
50.0,210.0,1.3815875e-08,4.75956633397414e-10
50.0,208.0,1.629392e-08,2.099348982327617e-09
50.0,206.0,1.690535e-08,1.6421486846506922e-09
50.0,204.0,1.73648e-08,1.8527962826495518e-09
50.0,202.0,1.6599875e-08,1.368592611727464e-09
50.0,200.0,1.8961725000000003e-08,1.365100654484862e-09
50.0,198.0,1.77597e-08,1.5567328528042311e-09
50.0,196.0,1.8052775e-08,1.1840230347738168e-09
50.0,194.0,1.7237660000000003e-08,1.3577135774529172e-09
50.0,192.0,1.8172e-08,1.3882705734113934e-09
50.0,190.0,2.0724519999999998e-08,1.1848953969021903e-09
50.0,188.0,2.12118e-08,1.573304503266929e-09
50.0,186.0,2.30695e-08,2.2275837099871246e-09
50.0,184.0,2.6533999999999998e-08,9.138378658164699e-10
50.0,182.0,2.652655e-08,3.137374036913673e-09
50.0,180.0,3.1842800000000005e-08,5.881387353337645e-10
50.0,178.0,4.021575e-08,1.2019750548576286e-09
50.0,176.0,4.6712675e-08,2.7777951664719637e-09
50.0,174.0,6.3280275e-08,1.794168622754005e-09
50.0,172.0,8.059045e-08,5.538643350812544e-09
50.0,170.0,1.006326e-07,7.240221233843617e-09
52.0,170.0,1.0284785e-07,5.0371568734257204e-09
52.0,172.0,9.660175e-08,3.925859481374747e-09
52.0,174.0,6.906935000000001e-08,2.7350618909816287e-09
52.0,176.0,5.446274e-08,2.701994437892128e-09
52.0,178.0,4.674745e-08,8.378781459735068e-10
52.0,180.0,4.063795e-08,1.4844484809180824e-09
52.0,182.0,3.602605e-08,1.745388782621225e-09
52.0,184.0,3.3045825e-08,2.147323868650232e-09
52.0,186.0,2.8510875e-08,2.0360398232537103e-09
52.0,188.0,2.65539e-08,1.2698293527084647e-09
52.0,190.0,2.138614e-08,6.216501575645263e-10
52.0,192.0,1.9349149999999998e-08,5.686656508881126e-10
52.0,194.0,2.0389774999999997e-08,1.5849143058459027e-09
52.0,196.0,1.9324325000000003e-08,1.2400127365777341e-09
52.0,198.0,1.9758924999999998e-08,2.8830595331825877e-09
52.0,200.0,1.866816e-08,1.2512841972949233e-09
52.0,202.0,1.6046075e-08,1.866824674915939e-09
52.0,204.0,1.87099e-08,6.663904140967209e-10
52.0,206.0,1.7796975e-08,1.8449387921757731e-09
52.0,208.0,1.7516325e-08,1.5193647840051457e-09
52.0,210.0,1.3887875e-08,1.2858058006071529e-09
54.0,210.0,1.5301025e-08,1.2520888314632479e-09
54.0,208.0,1.6833349999999998e-08,1.9982858610569212e-09
54.0,206.0,1.831105e-08,1.743314569290351e-09
54.0,204.0,1.6135e-08,9.382643145723918e-10
54.0,202.0,1.816205e-08,1.0462331492071929e-09
54.0,200.0,1.918872e-08,1.8243989721549387e-09
54.0,198.0,2.10802e-08,6.350100077951522e-10
54.0,196.0,2.088895e-08,2.0736067521350334e-09
54.0,194.0,2.3086875e-08,1.5473399147811713e-09
54.0,192.0,2.283355e-08,7.061178000163996e-10
54.0,190.0,2.611282e-08,1.6509835267500397e-09
54.0,188.0,2.9685575000000002e-08,9.557416946408695e-10
54.0,186.0,3.2688175e-08,1.546409246245961e-09
54.0,184.0,3.9165225e-08,9.64030158695775e-10
54.0,182.0,4.529955e-08,1.6231700242118829e-09
54.0,180.0,5.2285675e-08,2.4888847365587283e-09
54.0,178.0,5.5608650000000006e-08,1.7521692162859142e-09
54.0,176.0,6.574987999999999e-08,3.4696614102243455e-09
54.0,174.0,7.41308e-08,3.1620564598058658e-09
54.0,172.0,9.583833999999999e-08,3.350348127344382e-09
54.0,170.0,1.060168e-07,5.342538312450367e-09
56.0,170.0,1.0468575000000001e-07,1.6766228518960382e-09
56.0,172.0,1.0122107499999998e-07,3.551503351663208e-09
56.0,174.0,9.6164575e-08,4.853388933711682e-09
56.0,176.0,8.49068e-08,1.8335188831860984e-09
56.0,178.0,7.4940425e-08,1.2453569214787357e-09
56.0,180.0,6.582538e-08,3.8441247885051835e-09
56.0,182.0,5.5280825000000004e-08,4.3721279134850355e-09
56.0,184.0,5.230504e-08,3.1668141130164254e-09
56.0,186.0,4.321585e-08,1.5620186050428476e-09
56.0,188.0,3.7541e-08,1.5037644280272099e-09
56.0,190.0,2.8652475e-08,1.07147735247881e-09
56.0,192.0,2.6345250000000002e-08,2.286548289999579e-09
56.0,194.0,2.4400159999999998e-08,1.0483456063722496e-09
56.0,196.0,2.39536e-08,1.9565984756714907e-09
56.0,198.0,2.13027e-08,1.4379067980922821e-09
56.0,200.0,2.6481825e-08,8.34503272537022e-10
56.0,202.0,1.93293e-08,2.090654428641902e-09
56.0,204.0,1.8462525e-08,1.301628549884721e-09
56.0,206.0,1.9644725e-08,7.307661950822574e-10
56.0,208.0,1.782378e-08,2.7313450162145393e-09
56.0,210.0,1.4978125e-08,1.9295695561121917e-09
58.0,210.0,1.7831719999999997e-08,1.3688073486068086e-09
58.0,208.0,1.9982475000000002e-08,1.5578474738802251e-09
58.0,206.0,2.36829e-08,1.038981946426405e-09
58.0,204.0,2.1480025000000002e-08,1.9891776471383852e-09
58.0,202.0,2.59578e-08,2.9041391194293716e-09
58.0,200.0,2.0692725e-08,5.953432513054964e-10
58.0,198.0,2.4214374999999998e-08,9.555780302387661e-10
58.0,196.0,2.349216e-08,1.4836871025927269e-09
58.0,194.0,2.83743e-08,1.9690007643472376e-09
58.0,192.0,3.37238e-08,1.267354962115982e-09
58.0,190.0,3.6517775e-08,6.310372151268087e-10
58.0,188.0,4.59204e-08,2.9237253282413523e-09
58.0,186.0,5.766995e-08,1.2036049528395934e-09
58.0,184.0,7.07358e-08,3.1491123288952423e-09
58.0,182.0,8.410612e-08,4.597049691878478e-09
58.0,180.0,9.350975e-08,3.97064135153252e-09
58.0,178.0,1.0436774999999999e-07,5.9904405382659475e-09
58.0,176.0,1.1007500000000001e-07,6.425746843752873e-09
58.0,174.0,1.16743e-07,4.997318130757738e-09
58.0,172.0,1.1296325e-07,4.226360454043176e-09
58.0,170.0,1.1794775e-07,7.224792259124133e-09
60.0,170.0,1.149816e-07,5.682402963535757e-09
60.0,172.0,1.2084075e-07,8.64630196601414e-09
60.0,174.0,1.251934e-07,3.365706024001497e-09
60.0,176.0,1.2750425e-07,6.039324563848178e-09
60.0,178.0,1.3169400000000001e-07,3.3335940064740915e-09
60.0,180.0,1.3082475000000003e-07,6.786012429070549e-09
60.0,182.0,1.163285e-07,5.8526904283414835e-09
60.0,184.0,1.0934225000000001e-07,6.503099198651365e-09
60.0,186.0,8.487204999999999e-08,3.2565217399090086e-09
60.0,188.0,6.459552000000001e-08,3.5347786501561866e-09
60.0,190.0,5.1905725e-08,2.8108782074068965e-09
60.0,192.0,3.6331525e-08,1.8287874498899544e-09
60.0,194.0,3.1262624999999996e-08,1.4293947327015722e-09
60.0,196.0,2.685935e-08,1.7184971494011853e-09
60.0,198.0,2.5816225e-08,1.4983884482586615e-09
60.0,200.0,2.43634e-08,1.909788180662976e-09
60.0,202.0,2.428294e-08,2.2865901789345637e-09
60.0,204.0,2.2165475e-08,2.679188874804276e-09
60.0,206.0,2.2587675000000002e-08,2.904788767169655e-09
60.0,208.0,2.1129825e-08,1.6248420375147238e-09
60.0,210.0,1.725555e-08,1.0305540002833422e-09
62.0,210.0,1.5576699999999998e-08,1.4547007596065938e-09
62.0,208.0,2.0571075e-08,8.379549790263196e-10
62.0,206.0,2.241732e-08,1.5454462920464114e-09
62.0,204.0,2.5528175e-08,1.8283893135421141e-09
62.0,202.0,2.500214e-08,1.5519218982925658e-09
62.0,200.0,2.720455e-08,2.9152661580891717e-09
62.0,198.0,2.847365e-08,2.4809939646238557e-09
62.0,196.0,3.20251e-08,9.261257716962646e-10
62.0,194.0,3.6257000000000005e-08,1.6039168073812312e-09
62.0,192.0,1.4320400000000002e-07,4.031681187792505e-09
62.0,190.0,6.1877075e-08,1.7576162214416984e-09
62.0,188.0,9.164015999999999e-08,3.7024230145136013e-09
62.0,186.0,1.271615e-07,5.311603359626923e-09
62.0,184.0,1.7030025e-07,2.964338153365774e-09
62.0,182.0,2.03813e-07,7.76894127278614e-09
62.0,180.0,2.205695e-07,1.565156178309372e-08
62.0,178.0,2.0759119999999998e-07,1.169126809888474e-08
62.0,176.0,1.8493825e-07,5.102772255107999e-09
62.0,174.0,1.497408e-07,9.554499555706724e-09
62.0,172.0,1.2192650000000002e-07,7.33664673062565e-09
62.0,170.0,1.0041385e-07,7.654035473363057e-09
64.0,170.0,1.1015675e-07,6.1678645970465335e-09
64.0,172.0,1.2569375e-07,1.931145045691805e-09
64.0,174.0,1.6679350000000002e-07,1.085661596677344e-08
64.0,176.0,2.25273e-07,1.2854418209316204e-08
64.0,178.0,3.1094359999999993e-07,1.9961489940382698e-08
64.0,180.0,3.5821175e-07,1.7082748086519923e-08
64.0,182.0,4.0073950000000007e-07,9.716426850957086e-09
64.0,184.0,3.621405e-07,2.8788980964945424e-09
64.0,186.0,3.57459e-07,1.335029484693129e-08
