X,Y,I
10.0,175.0,2.66001e-13
10.0,175.0,2.64697e-13
10.0,175.0,2.66754e-13
10.0,175.0,2.65006e-13
10.0,175.0,2.6242e-13
10.0,175.0,2.57023e-13
10.0,175.0,2.59191e-13
10.0,175.0,2.64419e-13
10.0,175.0,2.63495e-13
10.0,175.0,2.61577e-13
10.0,175.0,2.63659e-13
10.0,175.0,2.583e-13
10.0,175.0,2.58747e-13
10.0,175.0,2.55408e-13
10.0,175.0,2.55885e-13
10.0,175.0,2.62446e-13
10.0,175.0,2.66145e-13
10.0,175.0,2.66219e-13
10.0,175.0,2.65992e-13
10.0,175.0,2.62684e-13
10.0,175.0,2.63402e-13
10.0,175.0,2.60144e-13
10.0,175.0,2.67116e-13
10.0,175.0,2.68224e-13
10.0,175.0,2.6632e-13
10.0,175.0,2.67059e-13
10.0,175.0,2.63886e-13
10.0,175.0,2.63965e-13
10.0,175.0,2.6529e-13
10.0,175.0,2.64261e-13
10.0,175.0,2.64824e-13
10.0,175.0,2.72416e-13
10.0,175.0,2.76745e-13
10.0,175.0,2.76868e-13
10.0,175.0,2.75226e-13
10.0,175.0,2.75847e-13
10.0,175.0,2.73224e-13
10.0,175.0,2.76481e-13
10.0,175.0,2.80048e-13
10.0,175.0,2.80345e-13
10.0,175.0,2.76314e-13
10.0,175.0,2.70836e-13
10.0,175.0,2.64465e-13
10.0,175.0,2.71294e-13
10.0,175.0,2.72085e-13
10.0,175.0,2.66457e-13
10.0,175.0,2.63163e-13
10.0,175.0,2.62536e-13
10.0,175.0,2.66563e-13
10.0,175.0,2.6652e-13
10.0,175.0,2.64675e-13
10.0,175.0,2.67508e-13
10.0,175.0,2.66872e-13
10.0,175.0,2.6204e-13
10.0,176.0,2.64863e-13
10.0,176.0,2.69946e-13
10.0,176.0,2.77604e-13
10.0,176.0,2.74606e-13
10.0,176.0,2.76354e-13
10.0,176.0,2.8151e-13
10.0,176.0,2.86698e-13
10.0,176.0,2.84606e-13
10.0,176.0,2.79822e-13
10.0,176.0,2.82922e-13
10.0,176.0,2.80167e-13
10.0,176.0,2.74425e-13
