X,Y,I,Ierr
0.0,0.0,6.504849615384616e-13,6.400938616957838e-14
0.0,5.0,8.603927307692307e-13,8.49781058027796e-15
0.0,10.0,8.420930400000002e-13,1.4292672406460585e-14
0.0,15.0,7.957765384615385e-13,4.140788054230653e-15
0.0,20.0,8.057269230769231e-13,9.630791915370191e-15
0.0,25.0,6.726011923076923e-13,1.3878034218530749e-14
0.0,30.0,3.801540769230769e-13,1.5530457987508776e-14
5.0,30.0,5.464132e-13,1.1290620719871869e-14
5.0,25.0,8.511185769230769e-13,3.00819777111365e-14
5.0,20.0,1.0415392e-12,7.679594739307542e-15
5.0,15.0,1.061201923076923e-12,9.704649567338946e-15
5.0,10.0,1.0775816e-12,4.470280241774552e-15
5.0,5.0,9.9388868e-13,7.717240888918767e-15
5.0,0.0,9.041680833333333e-13,5.647480418415701e-15
10.0,0.0,1.040572e-12,1.8250182245665384e-14
10.0,5.0,4.04442875e-12,9.542673967338875e-13
10.0,10.0,1.0500253999999999e-11,4.568311190713698e-13
10.0,15.0,1.153941e-11,7.484723821010366e-13
10.0,20.0,1.6758414285714287e-12,1.6602448553125624e-14
10.0,25.0,1.0754764e-12,4.2565765011802635e-14
10.0,30.0,6.995645833333334e-13,2.597819953332131e-14
15.0,30.0,7.1848316e-13,1.057764704905585e-14
15.0,25.0,1.1222796e-12,2.0350036752792364e-14
15.0,20.0,3.7562372e-12,5.301696238263373e-13
15.0,15.0,5.15835e-11,1.6913389415489729e-12
15.0,10.0,5.1978407999999996e-11,1.5394709524820534e-12
15.0,5.0,1.08068752e-11,2.4771577007677486e-12
15.0,0.0,1.306496875e-12,2.853599584707664e-14
20.0,0.0,1.5228364e-12,2.4307275598881936e-14
20.0,5.0,1.3483581666666666e-11,5.30398072373215e-12
20.0,10.0,5.5844576e-11,1.1638520948230489e-12
20.0,15.0,5.1638876e-11,3.556514260146303e-12
20.0,20.0,3.772440833333333e-12,2.7761343372149503e-13
20.0,25.0,1.1577033333333334e-12,1.7904729232493006e-14
20.0,30.0,7.671404400000001e-13,2.353607134265189e-14
25.0,30.0,7.395548333333333e-13,1.009210408218007e-14
25.0,25.0,1.1458324e-12,4.529325329715232e-14
25.0,20.0,2.7576947826086953e-12,2.2069669637348482e-13
25.0,15.0,1.376482e-11,4.553302082664843e-13
25.0,10.0,1.50500848e-11,3.6127231213166623e-13
25.0,5.0,4.4371116e-12,8.15921926827218e-13
25.0,0.0,1.251098125e-12,1.0483635592406629e-14
30.0,0.0,9.387002916666667e-13,2.7322790044026087e-14
30.0,5.0,1.0465836e-12,6.298861408222916e-15
30.0,10.0,1.6858766666666666e-12,5.3588726555954744e-14
30.0,15.0,2.1611500000000003e-12,4.110387364435902e-14
30.0,20.0,1.7142700000000001e-12,6.410000000000071e-15
30.0,25.0,9.588096e-13,3.5546261125468606e-14
30.0,30.0,6.188295200000001e-13,1.2339792092640787e-14
