X,Y,I
0.0,0.0,4.91442e-13
0.0,0.0,5.22987e-13
0.0,0.0,5.48345e-13
0.0,0.0,5.65845e-13
0.0,0.0,5.83096e-13
0.0,0.0,6.00835e-13
0.0,0.0,6.0907e-13
0.0,0.0,6.26697e-13
0.0,0.0,6.37213e-13
0.0,0.0,6.453e-13
0.0,0.0,6.50541e-13
0.0,0.0,6.64145e-13
0.0,0.0,6.59771e-13
0.0,0.0,6.73012e-13
0.0,0.0,6.74986e-13
0.0,0.0,6.75871e-13
0.0,0.0,6.85334e-13
0.0,0.0,6.90367e-13
0.0,0.0,6.95908e-13
0.0,0.0,7.01041e-13
0.0,0.0,7.02967e-13
0.0,0.0,7.06542e-13
0.0,0.0,7.17009e-13
0.0,0.0,7.23783e-13
0.0,0.0,7.27044e-13
0.0,0.0,7.33458e-13
0.0,5.0,8.41893e-13
0.0,5.0,8.42627e-13
0.0,5.0,8.43864e-13
0.0,5.0,8.53698e-13
0.0,5.0,8.58313e-13
0.0,5.0,8.56957e-13
0.0,5.0,8.63755e-13
0.0,5.0,8.64534e-13
0.0,5.0,8.67068e-13
0.0,5.0,8.76704e-13
0.0,5.0,8.7399e-13
0.0,5.0,8.68769e-13
0.0,5.0,8.6295e-13
0.0,5.0,8.62938e-13
0.0,5.0,8.61312e-13
0.0,5.0,8.6052e-13
0.0,5.0,8.66361e-13
0.0,5.0,8.65616e-13
0.0,5.0,8.66593e-13
0.0,5.0,8.66118e-13
0.0,5.0,8.66039e-13
0.0,5.0,8.54793e-13
0.0,5.0,8.54265e-13
0.0,5.0,8.55974e-13
0.0,5.0,8.55918e-13
0.0,5.0,8.58642e-13
0.0,10.0,8.45221e-13
0.0,10.0,8.47677e-13
0.0,10.0,8.47698e-13
0.0,10.0,8.52266e-13
0.0,10.0,8.56951e-13
0.0,10.0,8.58587e-13
0.0,10.0,8.54688e-13
0.0,10.0,8.56598e-13
0.0,10.0,8.5507e-13
0.0,10.0,8.542e-13
0.0,10.0,8.58177e-13
0.0,10.0,8.58965e-13
0.0,10.0,8.48106e-13
0.0,10.0,8.44495e-13
0.0,10.0,8.42111e-13
0.0,10.0,8.40392e-13
0.0,10.0,8.42857e-13
0.0,10.0,8.37502e-13
0.0,10.0,8.281e-13
0.0,10.0,8.25447e-13
0.0,10.0,8.25096e-13
0.0,10.0,8.23112e-13
0.0,10.0,8.20173e-13
0.0,10.0,8.16673e-13
0.0,10.0,8.12164e-13
0.0,15.0,7.92353e-13
0.0,15.0,7.92769e-13
0.0,15.0,7.97225e-13
0.0,15.0,8.00274e-13
0.0,15.0,7.98629e-13
0.0,15.0,7.94821e-13
0.0,15.0,7.93126e-13
0.0,15.0,7.91707e-13
0.0,15.0,7.97943e-13
0.0,15.0,8.00711e-13
0.0,15.0,8.01457e-13
0.0,15.0,8.05886e-13
0.0,15.0,8.00962e-13
0.0,15.0,7.96293e-13
0.0,15.0,7.95173e-13
0.0,15.0,7.89781e-13
0.0,15.0,7.91579e-13
0.0,15.0,7.94237e-13
0.0,15.0,7.92922e-13
0.0,15.0,7.91926e-13
0.0,15.0,7.91218e-13
0.0,15.0,7.97097e-13
0.0,15.0,7.97314e-13
0.0,15.0,8.00154e-13
0.0,15.0,7.88308e-13
0.0,15.0,7.96325e-13
0.0,20.0,7.9146e-13
0.0,20.0,7.90047e-13
0.0,20.0,7.85742e-13
0.0,20.0,7.89608e-13
0.0,20.0,7.94279e-13
0.0,20.0,8.0404e-13
0.0,20.0,8.06589e-13
0.0,20.0,8.0852e-13
0.0,20.0,8.0274e-13
0.0,20.0,7.99641e-13
0.0,20.0,8.08128e-13
0.0,20.0,8.01284e-13
0.0,20.0,8.05464e-13
0.0,20.0,8.07077e-13
0.0,20.0,8.02748e-13
0.0,20.0,8.02094e-13
0.0,20.0,8.07559e-13
0.0,20.0,8.06414e-13
0.0,20.0,8.11559e-13
0.0,20.0,8.15312e-13
0.0,20.0,8.18875e-13
0.0,20.0,8.19265e-13
0.0,20.0,8.17426e-13
0.0,20.0,8.20184e-13
0.0,20.0,8.17927e-13
0.0,20.0,8.14918e-13
0.0,25.0,7.13932e-13
0.0,25.0,7.11533e-13
0.0,25.0,6.9497e-13
0.0,25.0,6.84342e-13
0.0,25.0,6.78384e-13
0.0,25.0,6.73788e-13
0.0,25.0,6.72618e-13
0.0,25.0,6.6875e-13
0.0,25.0,6.66576e-13
0.0,25.0,6.6237e-13
0.0,25.0,6.59729e-13
0.0,25.0,6.63323e-13
0.0,25.0,6.65588e-13
0.0,25.0,6.61903e-13
0.0,25.0,6.63968e-13
0.0,25.0,6.62132e-13
0.0,25.0,6.64584e-13
0.0,25.0,6.70029e-13
0.0,25.0,6.74244e-13
0.0,25.0,6.72978e-13
0.0,25.0,6.71092e-13
0.0,25.0,6.67878e-13
0.0,25.0,6.69139e-13
0.0,25.0,6.6988e-13
0.0,25.0,6.6426e-13
0.0,25.0,6.59641e-13
0.0,30.0,4.1655e-13
0.0,30.0,4.05031e-13
0.0,30.0,4.0223e-13
0.0,30.0,4.01597e-13
0.0,30.0,3.9207e-13
0.0,30.0,3.7869e-13
0.0,30.0,3.68441e-13
0.0,30.0,3.61399e-13
0.0,30.0,3.62099e-13
0.0,30.0,3.55915e-13
0.0,30.0,3.55702e-13
0.0,30.0,3.61242e-13
0.0,30.0,3.66415e-13
0.0,30.0,3.73117e-13
0.0,30.0,3.77642e-13
0.0,30.0,3.77455e-13
0.0,30.0,3.78826e-13
0.0,30.0,3.76292e-13
0.0,30.0,3.72343e-13
0.0,30.0,3.76459e-13
0.0,30.0,3.79383e-13
0.0,30.0,3.79582e-13
0.0,30.0,3.88598e-13
0.0,30.0,3.90845e-13
0.0,30.0,3.90185e-13
0.0,30.0,3.95898e-13
5.0,30.0,5.28024e-13
5.0,30.0,5.3061e-13
5.0,30.0,5.30496e-13
5.0,30.0,5.27444e-13
5.0,30.0,5.35143e-13
5.0,30.0,5.41028e-13
5.0,30.0,5.43623e-13
5.0,30.0,5.45722e-13
5.0,30.0,5.45253e-13
5.0,30.0,5.41855e-13
5.0,30.0,5.42221e-13
5.0,30.0,5.5424e-13
5.0,30.0,5.50813e-13
5.0,30.0,5.53526e-13
5.0,30.0,5.53162e-13
5.0,30.0,5.53186e-13
5.0,30.0,5.48547e-13
5.0,30.0,5.43505e-13
5.0,30.0,5.38351e-13
5.0,30.0,5.42817e-13
5.0,30.0,5.52667e-13
5.0,30.0,5.57757e-13
5.0,30.0,5.63566e-13
5.0,30.0,5.63881e-13
5.0,30.0,5.72893e-13
5.0,25.0,7.84285e-13
5.0,25.0,7.94827e-13
5.0,25.0,8.00508e-13
5.0,25.0,8.04741e-13
5.0,25.0,8.12475e-13
5.0,25.0,8.24188e-13
5.0,25.0,8.33526e-13
5.0,25.0,8.39922e-13
5.0,25.0,8.48314e-13
5.0,25.0,8.47712e-13
5.0,25.0,8.5189e-13
5.0,25.0,8.58986e-13
5.0,25.0,8.60083e-13
5.0,25.0,8.59106e-13
5.0,25.0,8.69038e-13
5.0,25.0,8.70027e-13
5.0,25.0,8.72488e-13
5.0,25.0,8.73807e-13
5.0,25.0,8.70693e-13
5.0,25.0,8.62962e-13
5.0,25.0,8.67789e-13
5.0,25.0,8.72296e-13
5.0,25.0,8.78244e-13
5.0,25.0,8.8584e-13
5.0,25.0,8.90827e-13
5.0,25.0,8.94509e-13
5.0,20.0,1.02497e-12
5.0,20.0,1.03366e-12
5.0,20.0,1.03347e-12
5.0,20.0,1.03613e-12
5.0,20.0,1.03532e-12
5.0,20.0,1.03396e-12
5.0,20.0,1.03372e-12
5.0,20.0,1.03671e-12
5.0,20.0,1.03935e-12
5.0,20.0,1.03844e-12
5.0,20.0,1.03801e-12
5.0,20.0,1.04051e-12
5.0,20.0,1.03918e-12
5.0,20.0,1.03989e-12
5.0,20.0,1.0465e-12
5.0,20.0,1.04884e-12
5.0,20.0,1.04734e-12
5.0,20.0,1.04655e-12
5.0,20.0,1.04797e-12
5.0,20.0,1.0429e-12
5.0,20.0,1.04221e-12
5.0,20.0,1.04876e-12
5.0,20.0,1.05073e-12
5.0,20.0,1.05162e-12
5.0,20.0,1.06174e-12
5.0,15.0,1.04673e-12
5.0,15.0,1.05536e-12
5.0,15.0,1.04669e-12
5.0,15.0,1.05192e-12
5.0,15.0,1.05294e-12
5.0,15.0,1.05063e-12
5.0,15.0,1.05762e-12
5.0,15.0,1.05787e-12
5.0,15.0,1.05408e-12
5.0,15.0,1.0577e-12
5.0,15.0,1.06638e-12
5.0,15.0,1.05505e-12
5.0,15.0,1.0626e-12
5.0,15.0,1.06242e-12
5.0,15.0,1.05977e-12
5.0,15.0,1.05568e-12
5.0,15.0,1.05451e-12
5.0,15.0,1.06091e-12
5.0,15.0,1.06145e-12
5.0,15.0,1.06502e-12
5.0,15.0,1.06729e-12
5.0,15.0,1.07272e-12
5.0,15.0,1.0748e-12
5.0,15.0,1.07644e-12
5.0,15.0,1.08155e-12
5.0,15.0,1.08312e-12
5.0,10.0,1.089e-12
5.0,10.0,1.08366e-12
5.0,10.0,1.08282e-12
5.0,10.0,1.07893e-12
5.0,10.0,1.07654e-12
5.0,10.0,1.07548e-12
5.0,10.0,1.07772e-12
5.0,10.0,1.08124e-12
5.0,10.0,1.07735e-12
5.0,10.0,1.08125e-12
5.0,10.0,1.07188e-12
5.0,10.0,1.07743e-12
5.0,10.0,1.07626e-12
5.0,10.0,1.07834e-12
5.0,10.0,1.07271e-12
5.0,10.0,1.07253e-12
5.0,10.0,1.07493e-12
5.0,10.0,1.07403e-12
5.0,10.0,1.08007e-12
5.0,10.0,1.07736e-12
5.0,10.0,1.08398e-12
5.0,10.0,1.08117e-12
5.0,10.0,1.07131e-12
5.0,10.0,1.0717e-12
5.0,10.0,1.07185e-12
5.0,5.0,9.92297e-13
5.0,5.0,9.90839e-13
5.0,5.0,9.93244e-13
5.0,5.0,9.97984e-13
5.0,5.0,9.98179e-13
5.0,5.0,9.96792e-13
5.0,5.0,1.0021e-12
5.0,5.0,9.98276e-13
5.0,5.0,9.96606e-13
5.0,5.0,9.96947e-13
5.0,5.0,1.00095e-12
5.0,5.0,9.9558e-13
5.0,5.0,9.88256e-13
5.0,5.0,9.95311e-13
5.0,5.0,9.93566e-13
5.0,5.0,1.00138e-12
5.0,5.0,1.00308e-12
5.0,5.0,1.00284e-12
