#Chaining 3 commands, start time (t0) = 1659778285.4344258 s
x-pos,y-pos,time
9.0,170.0,1659778285.4424214
9.0,170.0,1659778325.446006
9.0,170.1,1659778326.6946406
9.0,170.1,1659778366.7021098
9.0,170.2,1659778367.944997
9.0,170.2,1659778407.960217
9.0,170.3,1659778409.210901
9.0,170.3,1659778449.213587
9.0,170.4,1659778450.4579234
9.0,170.4,1659778490.4590468
9.0,170.5,1659778491.7079084
9.0,170.5,1659778531.7115786
9.0,170.6,1659778532.9552805
9.0,170.6,1659778572.9567091
9.0,170.7,1659778574.198444
9.0,170.7,1659778614.2030513
9.0,170.8,1659778615.4445953
9.0,170.8,1659778655.4471161
9.0,170.9,1659778656.698939
9.0,170.9,1659778696.7003636
9.0,171.0,1659778697.9367101
9.0,171.0,1659778737.9383013
9.0,171.1,1659778739.181861
9.0,171.1,1659778779.1818802
9.0,171.2,1659778780.4235702
9.0,171.2,1659778820.429763
9.0,171.3,1659778821.6736784
9.0,171.3,1659778861.67903
9.0,171.4,1659778862.91949
9.0,171.4,1659778902.9293892
9.0,171.5,1659778904.1622145
9.0,171.5,1659778944.164545
9.0,171.6,1659778945.4084938
9.0,171.6,1659778985.4089248
9.0,171.7,1659778986.6506913
9.0,171.7,1659779026.6683214
9.0,171.8,1659779027.9011352
9.0,171.8,1659779067.908421
9.0,171.9,1659779069.1521811
9.0,171.9,1659779109.1541038
9.0,172.0,1659779110.385989
9.0,172.0,1659779150.403873
9.0,172.1,1659779151.6540952
9.0,172.1,1659779191.6586196
9.0,172.2,1659779192.903514
9.0,172.2,1659779232.9048693
9.0,172.3,1659779234.1459818
9.0,172.3,1659779274.1625519
9.0,172.4,1659779275.4010804
9.0,172.4,1659779315.4100037
9.0,172.5,1659779316.6421797
9.0,172.5,1659779356.650627
9.0,172.6,1659779357.8853374
9.0,172.6,1659779397.8968022
9.0,172.7,1659779399.1446588
9.0,172.7,1659779439.1509671
9.0,172.8,1659779440.3991237
9.0,172.8,1659779480.399298
9.0,172.9,1659779481.6485698
9.0,172.9,1659779521.6508272
9.0,173.0,1659779523.6648538
9.0,173.0,1659779563.6685224
9.0,173.1,1659779564.9064546
9.0,173.1,1659779604.911263
9.0,173.2,1659779606.1526477
9.0,173.2,1659779646.1558688
9.0,173.3,1659779647.3957531
9.0,173.3,1659779687.408249
9.0,173.4,1659779688.6532247
9.0,173.4,1659779728.6575325
9.0,173.5,1659779729.8978298
9.0,173.5,1659779769.899609
9.0,173.6,1659779771.143698
9.0,173.6,1659779811.151941
9.0,173.7,1659779812.3873253
9.0,173.7,1659779852.3968003
9.0,173.8,1659779853.6391463
9.0,173.8,1659779893.642302
9.0,173.9,1659779894.873452
9.0,173.9,1659779934.8761265
9.0,174.0,1659779936.126505
9.0,174.0,1659779976.1270516
9.0,174.1,1659779977.3774943
9.0,174.1,1659780017.377866
9.0,174.2,1659780018.6111631
9.0,174.2,1659780058.6136005
9.0,174.3,1659780059.8578794
